"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"425";"GM1680";"1995JJ00";""
"426";"GM1680";"1996JJ00";""
"427";"GM1680";"1997JJ00";""
"428";"GM1680";"1998JJ00";"  130136"
"429";"GM1680";"1999JJ00";"  159338"
"430";"GM1680";"2000JJ00";"  182830"
"431";"GM1680";"2001JJ00";"  216452"
"432";"GM1680";"2002JJ00";"  210945"
"433";"GM1680";"2003JJ00";"  205222"
"434";"GM1680";"2004JJ00";"  222208"
"435";"GM1680";"2005JJ00";"  231917"
"436";"GM1680";"2006JJ00";"  244657"
"437";"GM1680";"2007JJ00";"  265383"
"438";"GM1680";"2008JJ00";"  269367"
"439";"GM1680";"2009JJ00";"  227898"
"440";"GM1680";"2010JJ00";"  230392"
"441";"GM1680";"2011JJ00";"  236209"
"442";"GM1680";"2012JJ00";"  219111"
"443";"GM1680";"2013JJ00";"  213176"
"444";"GM1680";"2014JJ00";"  213509"
"445";"GM1680";"2015JJ00";"  241481"
"446";"GM1680";"2016JJ00";"  227275"
"447";"GM1680";"2017JJ00";"  241866"
"448";"GM1680";"2018JJ00";"  258980"
"449";"GM1680";"2019JJ00";"  284794"
"450";"GM0738";"1995JJ00";"  102023"
"451";"GM0738";"1996JJ00";"  115362"
"452";"GM0738";"1997JJ00";"  130831"
"453";"GM0738";"1998JJ00";"  141027"
"454";"GM0738";"1999JJ00";"  171212"
"455";"GM0738";"2000JJ00";"  212336"
"456";"GM0738";"2001JJ00";"  239708"
"457";"GM0738";"2002JJ00";"  231182"
"458";"GM0738";"2003JJ00";"  258579"
"459";"GM0738";"2004JJ00";"  243096"
"460";"GM0738";"2005JJ00";"  281099"
"461";"GM0738";"2006JJ00";"  278193"
"462";"GM0738";"2007JJ00";"  296221"
"463";"GM0738";"2008JJ00";"  286518"
"464";"GM0738";"2009JJ00";"  242576"
"465";"GM0738";"2010JJ00";"  276192"
"466";"GM0738";"2011JJ00";"  266466"
"467";"GM0738";"2012JJ00";"  250662"
"468";"GM0738";"2013JJ00";"  229378"
"469";"GM0738";"2014JJ00";"  229823"
"470";"GM0738";"2015JJ00";"  230525"
"471";"GM0738";"2016JJ00";"  248188"
"472";"GM0738";"2017JJ00";"  279988"
"473";"GM0738";"2018JJ00";"  284120"
"474";"GM0738";"2019JJ00";""
"475";"GM0358";"1995JJ00";"  115081"
"476";"GM0358";"1996JJ00";"  126116"
"477";"GM0358";"1997JJ00";"  136515"
"478";"GM0358";"1998JJ00";"  150441"
"479";"GM0358";"1999JJ00";"  201630"
"480";"GM0358";"2000JJ00";"  213742"
"481";"GM0358";"2001JJ00";"  251666"
"482";"GM0358";"2002JJ00";"  257608"
"483";"GM0358";"2003JJ00";"  282494"
"484";"GM0358";"2004JJ00";"  261497"
"485";"GM0358";"2005JJ00";"  286247"
"486";"GM0358";"2006JJ00";"  306764"
"487";"GM0358";"2007JJ00";"  330582"
"488";"GM0358";"2008JJ00";"  304057"
"489";"GM0358";"2009JJ00";"  302299"
"490";"GM0358";"2010JJ00";"  305355"
"491";"GM0358";"2011JJ00";"  314737"
"492";"GM0358";"2012JJ00";"  265452"
"493";"GM0358";"2013JJ00";"  288004"
"494";"GM0358";"2014JJ00";"  271638"
"495";"GM0358";"2015JJ00";"  277057"
"496";"GM0358";"2016JJ00";"  332572"
"497";"GM0358";"2017JJ00";"  375983"
"498";"GM0358";"2018JJ00";"  406960"
"499";"GM0358";"2019JJ00";"  409304"
"500";"GM0197";"1995JJ00";"   90191"
"501";"GM0197";"1996JJ00";"  105185"
"502";"GM0197";"1997JJ00";"   96758"
"503";"GM0197";"1998JJ00";"  119551"
"504";"GM0197";"1999JJ00";"  114640"
