"12407: Monthly earnings, by level of education, number of years since education was completed, field of study, contents, year and measuring method"

"level of education";"number of years since education was completed";"field of study";"Basic monthly salary (NOK) 2015 Average";"Basic monthly salary (NOK) 2015 Median";"Basic monthly salary (NOK) 2015 Lower quartile";"Basic monthly salary (NOK) 2015 Upper quartile";"Basic monthly salary (NOK) 2015 Number of eployments with earnings";"Basic monthly salary (NOK) 2015 Number of full-time equivalents";"Basic monthly salary (NOK) 2016 Average";"Basic monthly salary (NOK) 2016 Median";"Basic monthly salary (NOK) 2016 Lower quartile";"Basic monthly salary (NOK) 2016 Upper quartile";"Basic monthly salary (NOK) 2016 Number of eployments with earnings";"Basic monthly salary (NOK) 2016 Number of full-time equivalents";"Basic monthly salary (NOK) 2017 Average";"Basic monthly salary (NOK) 2017 Median";"Basic monthly salary (NOK) 2017 Lower quartile";"Basic monthly salary (NOK) 2017 Upper quartile";"Basic monthly salary (NOK) 2017 Number of eployments with earnings";"Basic monthly salary (NOK) 2017 Number of full-time equivalents";"Basic monthly salary (NOK) 2018 Average";"Basic monthly salary (NOK) 2018 Median";"Basic monthly salary (NOK) 2018 Lower quartile";"Basic monthly salary (NOK) 2018 Upper quartile";"Basic monthly salary (NOK) 2018 Number of eployments with earnings";"Basic monthly salary (NOK) 2018 Number of full-time equivalents";"Basic monthly salary (NOK) 2019 Average";"Basic monthly salary (NOK) 2019 Median";"Basic monthly salary (NOK) 2019 Lower quartile";"Basic monthly salary (NOK) 2019 Upper quartile";"Basic monthly salary (NOK) 2019 Number of eployments with earnings";"Basic monthly salary (NOK) 2019 Number of full-time equivalents";"Basic monthly salary (NOK) 2020 Average";"Basic monthly salary (NOK) 2020 Median";"Basic monthly salary (NOK) 2020 Lower quartile";"Basic monthly salary (NOK) 2020 Upper quartile";"Basic monthly salary (NOK) 2020 Number of eployments with earnings";"Basic monthly salary (NOK) 2020 Number of full-time equivalents"
"Total";"Total";"A1 All fields of study";40240;36490;30500;45370;2613125;;41410;37520;31730;46670;2705298;2150542;42420;38530;32460;48000;2756595;2198609;43650;39710;33060;49510;2817311;2247467;45240;41240;34100;51120;2859034;2285953;46230;42060;35000;52150;2808827;2242706
"Total";"Total";"0 General subjects";33260;31260;25980;37040;663344;;34120;32060;26830;38020;673184;468019;34790;32600;27240;38970;675395;469281;35720;33230;27810;40000;677648;468145;36710;34000;28740;40940;687857;474854;37240;34420;29220;41620;698793;471942
"Total";"Total";"1 Humanities and arts";40370;38280;31030;46700;108240;;42070;40000;32480;48320;119698;91221;43170;40920;33270;49890;120383;92003;44520;42190;34220;51080;122057;92719;45810;43560;35000;52780;125249;95353;46820;44490;36010;53810;121335;92324
"Total";"Total";"2 Teacher training and pedagogy";40940;40600;36000;45220;158701;;42380;41990;37380;46640;183061;150407;43530;43170;38230;47980;186067;152921;44400;43890;39000;48910;189542;155888;45860;45370;40590;50320;195077;160040;46310;45650;41330;50570;190076;158454
"Total";"Total";"3 Social sciences and law";46720;43290;35320;53620;102990;;48700;44730;36600;55930;102652;84332;49890;45830;37500;57610;106364;87653;51430;47320;38620;59580;110875;91237;53070;48750;39930;61700;117119;96410;54350;50000;41080;62520;115870;96853
"Total";"Total";"4 Business and administration";45660;40000;33000;51820;286415;;47530;41500;34170;54170;301005;257069;48880;42670;35000;56080;304878;261133;50560;44170;36050;58330;309837;265514;52460;45830;37350;60420;317708;272896;54060;47470;38330;62500;307556;264728
"Total";"Total";"5 Natural sciences, vocational and technical subjects";45490;40610;34100;51940;560849;;46380;41600;34970;52880;567039;512608;47480;42620;35810;54170;577888;523848;48950;43980;36930;55880;590995;536101;50600;45460;38080;58100;611509;555924;51840;46670;39070;59440;595503;541600
"Total";"Total";"6 Health, welfare and sport";38860;36050;31880;41870;418078;;40030;37250;32770;42970;426678;312655;41130;38280;33510;44170;437719;321934;42290;39250;34360;45530;449255;331367;43590;40980;35770;46940;461322;341442;44300;41670;35850;47630;448638;339811
"Total";"Total";"7 Primary industries";38960;35340;30610;44000;35849;;40340;36640;31670;45630;34574;27571;41340;37580;32480;47000;34668;27869;42560;38840;33070;48550;35254;28005;43880;39970;34040;50000;35692;28654;44870;40830;34910;50800;34578;27753
"Total";"Total";"8 Transport and communications, safety and security and other services";42690;37410;31620;48430;95605;;42540;37500;32190;48080;91128;78219;43430;38330;32880;49280;93540;80672;44630;39430;33780;50460;96103;82926;46090;40630;34810;52280;99966;86253;47290;42090;35490;53670;97002;83433
"Total";"Total";"9 Unspecified field of study";33390;29440;26610;35720;183054;;34530;30580;27600;36810;206279;168440;35340;31500;28690;37500;219693;181294;36140;32480;29260;38260;235745;195564;37870;33760;30370;40270;207535;174127;39450;34910;30850;42220;199476;165807
"Total";"0-4 years";"A1 All fields of study";32450;31660;24990;38320;516154;;33680;33130;26070;39640;571170;376661;34430;33890;26790;40590;592851;393365;35530;34910;27650;41720;614068;407804;36830;36140;28780;43500;631982;422100;37340;36800;29230;44170;565308;375427
"Total";"0-4 years";"0 General subjects";22580;23190;18660;25810;171402;;22750;23540;18670;26170;177198;86417;23170;24040;18880;26790;183486;89620;23770;24780;19370;27600;187883;90948;24530;25560;19490;28730;192727;93243;25570;25980;20540;29750;197989;94713
"Total";"0-4 years";"1 Humanities and arts";31990;29940;24850;37500;21760;;33490;31670;26030;38980;24148;14060;34290;32480;26540;40000;23992;14123;35490;33430;27440;41670;24286;14035;36370;34420;28060;42770;24694;14394;37290;35830;29100;43750;21166;12036
