"Jaar","Semester","Gewest","Gemiddelde prijs per gebouw"
"1992",,"Vlaams Gewest",64973.275
"1992",,"Brussels Hoofdstedelijk Gewest",85573.853
"1992",,"Waals Gewest",49313.892
"2000",,"Vlaams Gewest",104460.085
"2000",,"Brussels Hoofdstedelijk Gewest",104686.684
"2000",,"Waals Gewest",77659.09
"2005",,"Vlaams Gewest",162623.694
"2005",,"Brussels Hoofdstedelijk Gewest",193075.178
"2005",,"Waals Gewest",118558.858
"2010",,"Vlaams Gewest",216049.756
"2010",,"Brussels Hoofdstedelijk Gewest",247896.412
"2010",,"Waals Gewest",159894.169
"2015",,"Vlaams Gewest",249955.549
"2015",,"Brussels Hoofdstedelijk Gewest",280430.426
"2015",,"Waals Gewest",177775.303
"2017",,"Vlaams Gewest",258931.004
"2017",,"Brussels Hoofdstedelijk Gewest",294775.598
"2017",,"Waals Gewest",185209.048
"2018","1ste semester 2018","Vlaams Gewest",262908.27
"2018","1ste semester 2018","Brussels Hoofdstedelijk Gewest",307110.907
"2018","1ste semester 2018","Waals Gewest",188231.196
