"07230: Prisindeks for brukte boliger, etter statistikkvariabel, region, boligtype og år"

"statistikkvariabel";"region";"boligtype";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Prisindeks for brukte boliger";"Hele landet";"Boliger i alt";18.8;19.0;21.5;23.1;25.1;28.1;31.3;34.7;40.3;43.0;45.2;45.9;50.6;54.8;62.3;70.1;69.4;70.7;76.5;82.6;88.2;91.8;94.3;100.0;107.0;112.4;114.0;116.8;121.4
"Prisindeks for brukte boliger";"Hele landet";"Eneboliger";23.1;23.3;25.7;27.9;30.0;32.7;35.1;37.8;42.3;45.3;46.6;47.4;52.0;55.9;62.9;71.2;71.8;72.7;78.6;84.2;89.1;92.7;95.4;100.0;105.4;110.1;112.1;114.8;118.7
"Prisindeks for brukte boliger";"Hele landet";"Småhus";17.9;17.9;20.7;22.2;24.2;27.2;30.6;34.1;39.5;41.9;44.2;45.0;49.6;54.4;62.2;70.5;69.3;70.3;77.0;83.2;88.7;92.5;94.3;100.0;107.3;112.8;114.5;116.9;121.8
"Prisindeks for brukte boliger";"Hele landet";"Blokkleiligheter";13.1;13.4;15.8;16.5;18.8;22.1;25.7;30.1;36.3;39.1;42.3;43.2;48.2;52.5;61.0;67.2;63.6;66.3;71.2;78.4;85.4;89.0;91.6;100.0;110.8;117.1;117.8;121.4;127.4
"Prisindeks for brukte boliger";"Oslo med Bærum";"Boliger i alt";13.6;14.1;16.9;17.8;20.3;24.0;28.0;32.5;38.9;41.5;44.1;43.6;48.0;52.4;60.4;67.2;64.2;66.3;72.0;79.1;85.5;88.2;90.7;100.0;115.5;124.4;125.5;130.4;135.8
"Prisindeks for brukte boliger";"Oslo med Bærum";"Eneboliger";16.9;18.2;20.5;23.5;25.6;30.6;34.2;38.0;45.1;48.3;48.9;47.9;51.8;55.9;62.7;69.8;68.9;69.8;76.4;83.1;88.0;90.6;93.4;100.0;112.8;122.6;125.8;131.7;132.6
"Prisindeks for brukte boliger";"Oslo med Bærum";"Småhus";15.0;15.1;18.7;19.6;22.3;26.0;30.0;34.2;40.1;42.4;44.8;43.8;48.1;53.5;61.0;70.0;67.9;68.1;75.7;82.2;87.8;90.2;91.9;100.0;113.9;124.3;125.5;130.1;134.1
"Prisindeks for brukte boliger";"Oslo med Bærum";"Blokkleiligheter";12.0;12.5;15.1;15.7;18.1;21.8;25.6;30.3;36.3;39.0;41.7;41.7;46.4;50.4;59.1;64.9;60.6;64.1;68.4;76.0;83.5;86.3;88.9;100.0;117.1;124.6;124.8;129.2;136.9
"Prisindeks for brukte boliger";"Stavanger";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.1;62.8;75.3;75.9;76.7;87.8;96.2;103.5;106.0;104.0;100.0;94.1;98.6;97.8;97.8;101.7
"Prisindeks for brukte boliger";"Stavanger";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.5;62.5;74.5;76.5;76.2;87.8;95.4;102.1;105.0;103.1;100.0;94.2;99.1;97.7;97.9;102.5
"Prisindeks for brukte boliger";"Stavanger";"Småhus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.8;62.9;76.4;75.5;77.4;88.5;97.0;104.4;106.3;104.4;100.0;93.3;97.6;97.4;97.7;101.1
"Prisindeks for brukte boliger";"Stavanger";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.9;63.4;75.5;75.0;77.0;86.7;97.1;105.6;107.6;105.6;100.0;95.4;99.3;99.0;97.8;100.7
"Prisindeks for brukte boliger";"Bergen";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.8;64.4;70.0;64.3;64.8;72.3;79.4;84.5;89.1;93.0;100.0;100.9;102.8;102.9;105.5;111.0
