"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"0114 Upplands Väsby";"permanent dwelling (no site leasehold rights)";481;482;487;492;508;545;672;868;1016;1193;1193;1033;802;874;891;878;972;1090;1281;1534;1648;1819;1975;2051;2180;2479;2849;2887;2925;3011;3115;3268;3279;3599;4236;4808;4922;4638;4682
"0115 Vallentuna";"permanent dwelling (no site leasehold rights)";457;452;436;461;466;511;596;809;938;1015;1071;916;760;858;806;881;972;1083;1217;1456;1627;1890;1953;2003;2162;2417;2733;2847;2785;3004;3046;3085;3168;3440;3734;4293;4641;4459;4510
"0117 Österåker";"permanent dwelling (no site leasehold rights)";..;..;424;426;451;472;554;732;913;967;1069;896;854;852;851;822;946;1073;1249;1459;1620;1855;1959;2011;2232;2466;2739;2856;2809;3073;3105;3090;3281;3537;3627;4321;4785;4421;4646
"0120 Värmdö";"permanent dwelling (no site leasehold rights)";394;436;447;470;451;515;615;799;895;1103;1379;1270;980;1162;1091;1014;1200;1252;1491;1955;2083;2179;2282;2481;2657;3036;3235;3452;3500;3787;3647;3661;3940;4344;4425;4879;5321;4730;5081
"0123 Järfälla";"permanent dwelling (no site leasehold rights)";485;502;504;514;527;581;693;880;1023;1115;1172;988;886;967;952;949;1089;1235;1383;1712;1882;2014;2127;2282;2480;2684;2947;3009;3085;3291;3285;3305;3456;3948;4551;5025;5175;4883;4892
"0125 Ekerö";"permanent dwelling (no site leasehold rights)";491;475;456;484;503;526;641;810;988;1041;1125;1082;887;976;1034;991;1181;1250;1386;1681;1927;2171;2269;2402;2597;2919;3158;3287;3054;3541;3615;3727;3760;4326;4457;4959;5528;5167;5374
"0126 Huddinge";"permanent dwelling (no site leasehold rights)";465;454;497;489;515;561;682;874;1001;1110;1166;1022;852;934;945;966;1056;1208;1367;1689;1860;2005;2060;2193;2307;2779;3009;3128;3185;3529;3577;3518;3718;4159;4762;5398;5668;5215;5242
"0127 Botkyrka";"permanent dwelling (no site leasehold rights)";426;418;461;432;459;512;608;787;940;1021;1058;902;821;843;859;819;926;1032;1153;1324;1557;1720;1745;1966;2024;2332;2526;2633;2534;2742;2847;2810;3004;3221;3744;4206;4312;4310;4234
"0128 Salem";"permanent dwelling (no site leasehold rights)";..;..;455;433;432;520;672;741;908;1260;1211;816;926;934;851;896;1155;1121;1186;1449;1718;1788;1875;2083;2329;2304;2719;2588;2920;2809;2909;3051;3231;3493;4121;4810;4968;4553;4629
"0136 Haninge";"permanent dwelling (no site leasehold rights)";388;408;440;450;473;503;605;769;914;999;1101;910;832;851;805;809;889;1044;1096;1398;1568;1775;1819;1980;2075;2371;2630;2655;2600;2842;2839;2864;3068;3353;3872;4365;4516;4208;4295
"0138 Tyresö";"permanent dwelling (no site leasehold rights)";465;452;465;461;519;554;694;879;989;1188;1217;1093;981;940;953;960;1127;1269;1444;1652;2022;2119;2249;2381;2503;2830;3400;3345;3367;3671;3714;3746;4006;4219;4834;5427;5782;5377;5593
