freq,purchase,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,DW_EXST,INX_A_AVG,AT	76.64 	81.46 	87.60 	92.30 	95.27 	100.00 	109.42 	115.14 	121.19 	128.14 
A,DW_EXST,INX_A_AVG,BE	93.04 	96.83 	99.12 	99.44 	99.39 	100.00 	102.28 	105.79 	108.66 	113.27 
A,DW_EXST,INX_A_AVG,BG	108.35 	101.78 	99.08 	97.30 	97.76 	100.00 b	107.34 	117.77 	126.07 	132.11 p
A,DW_EXST,INX_A_AVG,CY	108.78 	110.53 	105.57 	100.95 	101.63 	100.00 	99.35 	100.78 	101.08 	102.12 
A,DW_EXST,INX_A_AVG,CZ	94.90 	95.20 	93.90 	93.90 	96.20 	100.00 	107.30 	119.60 	129.30 	141.30 
A,DW_EXST,INX_A_AVG,DE	83.90 	86.70 	89.70 	92.80 	95.60 	100.00 	107.60 	114.50 	122.20 	129.80 
A,DW_EXST,INX_A_AVG,DK	91.43 	89.68 	87.11 	90.19 	93.54 	100.00 	105.25 	110.07 	114.90 	117.64 
A,DW_EXST,INX_A_AVG,EE	67.25 	72.94 	77.13 	85.89 	95.32 	100.00 	104.35 	110.55 	115.03 	122.76 
A,DW_EXST,INX_A_AVG,ES	140.68 	127.39 	108.48 	96.65 	96.74 	100.00 	104.32 	110.82 	118.34 	124.00 
A,DW_EXST,INX_A_AVG,FI	96.94 	99.50 	100.68 	101.40 	100.45 	100.00 b	100.28 	101.23 	101.23 	101.51 
A,DW_EXST,INX_A_AVG,FR	100.59 	106.57 	105.99 	103.76 	101.88 	100.00 	100.93 	103.98 	107.10 	110.60 
A,DW_EXST,INX_A_AVG,HR	111.17 	110.08 	107.29 	102.74 	101.43 	100.00 	101.81 	106.45 	113.44 	123.73 
A,DW_EXST,INX_A_AVG,HU	94.01 	90.79 	87.17 	84.74 	88.28 	100.00 	113.54 	127.02 	145.30 	170.60 
A,DW_EXST,INX_A_AVG,IE	104.57 	86.59 	74.85 	76.80 	90.16 	100.00 	107.45 	120.22 	132.40 	134.78 
A,DW_EXST,INX_A_AVG,IS	: 	: 	: 	: 	: 	: 	: 	131.20 d	142.01 d	148.30 d
A,DW_EXST,INX_A_AVG,IT	126.80 	127.30 	121.40 	110.90 	104.70 	100.00 	100.10 	98.90 	98.00 	97.60 
A,DW_EXST,INX_A_AVG,LT	85.23 	90.28 	88.64 	90.57 	96.76 	100.00 	106.47 	115.58 	123.78 	132.50 
A,DW_EXST,INX_A_AVG,LU	81.30 	85.21 	88.57 	91.51 	96.20 	100.00 	106.21 	112.26 	120.98 	134.12 
A,DW_EXST,INX_A_AVG,LV	84.59 	89.69 	90.34 	97.06 	102.20 	100.00 	108.51 	118.17 	130.24 	141.83 
A,DW_EXST,INX_A_AVG,MT	85.89 	86.01 	89.04 	92.51 	95.27 	100.00 	106.78 	112.58 	117.58 	123.51 p
A,DW_EXST,INX_A_AVG,NL	113.01 	110.26 	103.14 	96.37 	97.25 	100.00 	105.05 	113.01 	123.17 	131.66 
A,DW_EXST,INX_A_AVG,NO	75.63 	81.70 	87.36 	90.97 	93.41 	100.00 	108.25 	114.35 	115.64 	118.77 
A,DW_EXST,INX_A_AVG,PL	107.74 	107.30 	101.86 	98.07 	99.35 	100.00 	102.55 	107.13 	115.17 	127.16 
A,DW_EXST,INX_A_AVG,PT	109.55 	102.30 	94.29 	92.20 	96.19 	100.00 	108.68 	119.98 	133.20 	146.68 
A,DW_EXST,INX_A_AVG,RO	122.36 	105.49 	98.65 	98.85 	96.72 	100.00 	106.00 	113.73 	120.48 	125.03 
A,DW_EXST,INX_A_AVG,SE	71.92 	73.26 	73.91 	78.65 	87.02 	100.00 	108.54 	115.78 	112.37 	114.59 
A,DW_EXST,INX_A_AVG,SI	118.67 	119.46 	112.80 	106.84 	99.44 	100.00 	103.77 	111.89 	121.83 	131.56 
A,DW_EXST,INX_A_AVG,SK	94.24 	93.49 	91.38 	92.73 	93.97 	100.00 	106.95 	112.84 	121.92 	135.34 
A,DW_EXST,INX_A_AVG,TR	58.15 	62.43 	68.12 	75.74 	86.08 	100.00 	113.57 	124.80 	133.60 	140.15 
A,DW_EXST,INX_A_AVG,UK	86.30 	84.79 	85.17 	87.33 	94.34 	100.00 	106.81 	111.63 	115.12 	116.28 
A,DW_EXST,RCH_A_AVG,AT	: 	6.3 	7.5 	5.4 	3.2 	5.0 	9.4 	5.2 	5.3 	5.7 
A,DW_EXST,RCH_A_AVG,BE	4.3 	4.1 	2.4 	0.3 	-0.1 	0.6 	2.3 	3.4 	2.7 	4.2 
A,DW_EXST,RCH_A_AVG,BG	-10.1 	-6.1 	-2.7 	-1.8 	0.5 	2.3 b	7.3 	9.7 	7.0 	4.8 p
A,DW_EXST,RCH_A_AVG,CY	: c	1.6 	-4.5 	-4.4 	0.7 	-1.6 	-0.6 	1.4 	0.3 	1.0 
A,DW_EXST,RCH_A_AVG,CZ	-1.6 	0.3 	-1.3 	-0.1 	2.5 	4.0 	7.3 	11.4 	8.1 	9.3 
A,DW_EXST,RCH_A_AVG,DE	0.8 	3.3 	3.5 	3.4 	3.0 	4.6 	7.6 	6.4 	6.7 	6.2 
A,DW_EXST,RCH_A_AVG,DK	2.9 	-1.9 	-2.9 	3.5 	3.7 	6.9 	5.2 	4.6 	4.4 	2.4 
A,DW_EXST,RCH_A_AVG,EE	3.3 	8.5 	5.7 	11.4 	11.0 	4.9 	4.3 	5.9 	4.0 	6.7 
A,DW_EXST,RCH_A_AVG,ES	-1.2 	-9.4 	-14.8 	-10.9 	0.1 	3.4 	4.3 	6.2 	6.8 	4.8 
A,DW_EXST,RCH_A_AVG,FI	8.6 	2.6 	1.2 	0.7 	-0.9 	-0.5 b	0.3 	0.9 	0.0 	0.3 
A,DW_EXST,RCH_A_AVG,FR	5.1 	5.9 	-0.5 	-2.1 	-1.8 	-1.8 	0.9 	3.0 	3.0 	3.3 
A,DW_EXST,RCH_A_AVG,HR	-5.2 	-1.0 	-2.5 	-4.2 	-1.3 	-1.4 	1.8 	4.6 	6.6 	9.1 
A,DW_EXST,RCH_A_AVG,HU	-1.9 	-3.4 	-4.0 	-2.8 	4.2 	13.3 	13.5 	11.9 	14.4 	17.4 
A,DW_EXST,RCH_A_AVG,IE	: 	-17.2 	-13.6 	2.6 	17.4 	10.9 	7.4 	11.9 	10.1 	1.8 
A,DW_EXST,RCH_A_AVG,IS	: 	: 	: 	: 	: 	: 	: 	: 	8.2 d	4.4 d
A,DW_EXST,RCH_A_AVG,IT	: 	0.4 	-4.6 	-8.7 	-5.5 	-4.5 	0.1 	-1.2 	-1.0 	-0.4 
A,DW_EXST,RCH_A_AVG,LT	-4.3 	5.9 	-1.8 	2.2 	6.8 	3.4 	6.5 	8.6 	7.1 	7.0 
A,DW_EXST,RCH_A_AVG,LU	5.9 	4.8 	3.9 	3.3 	5.1 	3.9 	6.2 	5.7 	7.8 	10.9 
A,DW_EXST,RCH_A_AVG,LV	-12.3 	6.0 	0.7 	7.4 	5.3 	-2.1 	8.5 	8.9 	10.2 	8.9 
A,DW_EXST,RCH_A_AVG,MT	-3.6 	0.1 	3.5 	3.9 	3.0 	5.0 	6.8 	5.4 	4.4 	5.0 p
A,DW_EXST,RCH_A_AVG,NL	-2.2 	-2.4 	-6.5 	-6.6 	0.9 	2.8 	5.1 	7.6 	9.0 	6.9 
A,DW_EXST,RCH_A_AVG,NO	: 	8.0 	6.9 	4.1 	2.7 	7.1 	8.2 	5.6 	1.1 	2.7 
A,DW_EXST,RCH_A_AVG,PL	: 	-0.4 	-5.1 	-3.7 	1.3 	0.7 	2.5 	4.5 	7.5 	10.4 
