location,address,price,title,facilities,description_text,ad_url,id,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,byggear,energimerking,tomteareal,bruttoareal,boligselgerforsikring,fellesformue,formuesverdi,fellesgjeld,etasje,rom,festeavgift,kommunale_avg,num,grunnflate,renovert_ar,tomt,sikringsordning,utleiedel,new_building
BJØRNDAL,"Thorn Dønhaugs vei 38, 1271 Oslo",5300000,"Familievennlig og meget pen, kjedet enebolig. Hagestue, terrasse, og hage med frukttrær. Garasje med elbillader.","Balkong/Terrasse, Peis/Ildsted, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Garasje/P-plass, Offentlig, vann/kloakk, Bredbåndstilknytning","Video Søn. 21. februar 1300 - 1400 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Thorn Dønhaugs vei 38 er en meget pen, kjedet andelsenebolig med en fin planløsning over tre etasjer. Beliggenheten er barnevennlig og svært god - naturnært og rolig, men samtidig med kort vei til skoler og det man trenger i hverdagen. Boligen har velpleide uteområder bestående av en usjenert terrasse og en inngjerdet hage med frukttrær. Det er parkering i garasje med elbillader. I første etasje er det entré, en lys stue med peis og delvis åpen kjøkkenløsning. Stuen er og tilknyttet en innredet hagestue med avslappende atmosfære. Kjøkkenet har Kvik-innredning og integrerte hvitevarer fra 2010. I tillegg er det innredet en trivelig loftstue. Videre finnes det to bad flislagt i 2010, eget vaskerom, et innredet rom og tre gode soverom, hvor to har garderobe. For lagring er det kott og boder. Søn. 21. februar 1300 - 1400 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207888042,207888042,8060,5308060,3400,Enebolig,Andel,4,141,162,2005,C-gul,25375,175,Ja,8249,1425803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
,"Inkognitogata 2, 0258 Oslo",13500000,"Homansbyen - Herskapelig ""toppleilighet"" (hjørnet), med solrik balkong, peis, utsikt og parkering*","Balkong/Terrasse, Peis/Ildsted, Parkett, Sentralt, Vaktmester-/vektertjeneste","Søn. 28. februar 1300 - 1400 + Legg til i kalender Man. 1. mars 1700 - 1800 + Legg til i kalender Tir. 2. mars 1100 - 1200 + Legg til i kalender Visningspåmelding En meget attraktiv 4-roms beliggende i fasjonabel Frognergård. Åpen og lys leilighet med store stuer, 2 bad god takhøyde og fine klassiske detaljer som rosett og stukkatur. Takhøyde opp mot 3,25 m som gir en luftig følelse. Fin beliggenhet i Homansbyen, rett bak slottet med kort vei til alt området har å by på. Kort fortalt:Rolig og tilbaketrukket beliggenhet i ambassadestrøkMeget attraktiv hjørneleilighet uten gjenboereSolrik balkong med utsikt til herskapelige villaer med store hagerStore lyse rom med stukkatur og rosetter. Meget god takhøyde8 felles biloppstillingsplasser på egen grunnAlt elektrisk trukket om i 2008 med skjult elektrisk anlegg. Nytt sikringsskap ble montert i 2014 med automatsikringer og jordfeilbryter.Sentralvarme med radiatorer + lekker vedpeis Søn. 28. februar 1300 - 1400 + Legg til i kalender Man. 1. mars 1700 - 1800 + Legg til i kalender Tir. 2. mars 1100 - 1200 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208462836,208462836,349048,13960048,6009,Leilighet,Eier(Selveier),2,114,114,1898,G-oransje,1119,130,Ja,6334,2126855,111000,3,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
LAMBERTSETER,"Grusveien 4, 1158 Oslo",3390000,LYS 3-ROMS - NYTT BAD(2013) DOK. FORELIGGER - FYRING & V.VANN INKL. . VESTVENDT BALKONG - PERFEKT BELIGGENHET!,"Balkong/Terrasse, Parkett, Barnevennlig, Rolig, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste","Tor. 25. februar 1600 - 1700 + Legg til i kalender Avtal visningstidspunkt: Proaktiv skal sikre trygge visninger for så vel selger, interessenter og megler. Kontakt derfor megler for å få oppmøtetidspunkt innenfor annonsert visning, eller for å avtale privatvisning. Gi beskjed til megler om du er i risikogruppen eller sitter i karantene, så finner vi gode løsninger. Husk å lese salgsoppgaven godt før visningen, da den ikke lenger deles ut i papirformat grunnet smitterisiko. Visningspåmelding CAROLINE RINGSÅ ASK HAR DEN GLEDE AV Å PRESENTERE 3-ROMS LEILIGHET I GRUSVEIEN 4 MED VESTVENDT BALKONG! VESTVENDT BALKONG MED GODE SOLFORHOLDNYTT BAD I REGI AV BRL 2013 (UTFØRT AV FAGFOLK.) KVIK KJØKKEN FRA 2014FYRING & VARMTVANN INKL. I FELLESKOSTNADER.PYNTEN BORETTSLAG M/EGEN VAKTMESTER.ENKEL ADKOMST TIL LEILIGHETEN.LYSLØYPE SOM NÆRMESTE NABOCA. 20 MIN. MED T-BANE TIL SENTRUM (ENDESTASJONEN)KORT VEI TIL OFF.KOMMUNIKASJON(T-BANE)INGEN DOKUMENTAVGIFT.ØNSKER DU EN 3-ROMS MED ATTRAKTIV BELIGGENHET - SOLRIK BALKONG - FYRING OG VARMTVANN INKL. - ER DETTE BOLIGEN FOR DEG. VELKOMMEN TIL EN HYGGELIG VISNING I GRUSVEIEN 4! Tor. 25. februar 1600 - 1700 + Legg til i kalender Avtal visningstidspunkt: Proaktiv skal sikre trygge visninger for så vel selger, interessenter og megler. Kontakt derfor megler for å få oppmøtetidspunkt innenfor annonsert visning, eller for å avtale privatvisning. Gi beskjed til megler om du er i risikogruppen eller sitter i karantene, så finner vi gode løsninger. Husk å lese salgsoppgaven godt før visningen, da den ikke lenger deles ut i papirformat grunnet smitterisiko. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208462685,208462685,5432,3583643,3093,Leilighet,Andel,2,53,53,1957,G-mørkegrønn,78232,59,Ja,12456,840768,188211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
URBANT I GAMLEBYEN,"Arups gate 22A, 0192 Oslo",3350000,"Tiltalende 2-roms med attraktiv, sentral beliggenhet - Varmtvann og strøm inkl. - Ingen dok.avg/forkjøpsrett","Parkett, Ingen, gjenboere, Rolig, Kabel-TV, Moderne, Sentralt","Søn. 21. februar 1230 - 1330 + Legg til i kalender Tir. 23. februar 1730 - 1830 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Boligen har en fantastisk beliggenhet for deg som ønsker å bo svært sentralt. Leiligheten ligger trivelig borettslag renovert i 2006. Kun en liten rusletur nedover gata kan du nyte en espresso på Stockfleths, kjøpe ferske rundstykker på Det daglige brød, eller plukke med deg sushi på vei hjem fra jobben eller gå turen opp til Kampen Bistro for et hyggelig måltid med gode venner.Leiligheten har en meget god og arealeffektiv løsning med flere fine løsninger og detaljerInneholder i 3. etg: entre, flislagt bad med varmekabler, soverom med skyvedørsgarderobe og takhøyde på 2,98, hyggelig kjøkken med spiseplass i åpen løsning mot lys stue med god takhøyde. Kjellerbod- Store vinduer gir mye naturlig lys- Ingen dok.avg eller forkjøpsrett- Bl.a strømforbruk, varmtvann inkl fellesutgifterMå oppleves Søn. 21. februar 1230 - 1330 + Legg til i kalender Tir. 23. februar 1730 - 1830 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208459240,208459240,8060,3358060,2880,Leilighet,Andel,1,28,28,1889,G-rød,767,NA,Ja,NA,567565,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Indre gårdsrom på Grünerløkka,"Sannergata 9, 0557 Oslo",5500000,Toppleilighet med 180-graders panoramautsikt over by og fjord - Heis - Sydvendt balkong med optimale solforhold,"Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Rolig, Moderne, Sentralt, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Tor. 25. februar 1800 - 1900 + Legg til i kalender Søn. 28. februar 1200 - 1300 + Legg til i kalender Vi har Corona-tiltak på alle våre visninger og oppfordrer alle til å melde seg på visning. Visningspåmelding Velkommen inn til denne råkule toppleiligheten beliggende i indre gårdsrom på Grünerløkka. Leiligheten går over to plan og har en x-factor av de sjeldne med 180 graders panoramautsikt over by og ned til fjord. Balkongen er beliggende høyt og fritt i 7. etasje. Det er heisadkomst til helt opp til etasjeplan.Bygget er oppført i 2004 og holder dermed en god byggeteknisk standard. Fellesutgiftene er på kun 3026,- kr per måned og det er inkludert kabel-tv, fiber, samt varmtvann og oppvarming.Sameiet har en fantastisk takterrasse i 6. etasje og en felles markterrasse i bakgården som kan benyttes av beboere.Det er garasjekjeller i bygget med tidvis plasser tilgjengelig for leie og kjøp. Tor. 25. februar 1800 - 1900 + Legg til i kalender Søn. 28. februar 1200 - 1300 + Legg til i kalender Vi har Corona-tiltak på alle våre visninger og oppfordrer alle til å melde seg på visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207704098,207704098,146520,5646520,3026,Leilighet,Eier(Selveier),2,62,62,2004,D-mørkegrønn,1698,70,NA,2908,1205170,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rosenhoff / Sinsen,"Olaf Schous vei 15, 0572 Oslo",3300000,"Oppussingsobjekt med stort potensiale. Nytt bad fra 2016. Varmtvann, fyring og kabel-TV inkludert.","Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste"," Ta kontakt for å avtale visning Visningspåmelding Trym Skaare v/ DNB Eiendom har gleden av å presentere Olaf Schous vei 15. Et spennende objekt for den nevenyttige. Her får du en fin mulighet til å skape et attraktivt hjem i et attraktivt område. Boligen har sentrumsnær beliggenhet på Rosenhoff/Sinsen, med gå-avstand til bl.a buss og nattbuss, trikk og t-bane, butikker, parker og flere spisesteder.Høydepunkter:- Varmtvann og fyring inkl- Supert utleieobjekt- Delikat bad fra 2016 i regi sameiet- Gjennomgående planløsning- Kort vei til kollektivtransport, butikker og parker- Ingen innsyn i høy 1.etasje- Gode muligheter for å leie p-plass/garasje- Sikringskap med automatsikringer- Romslig størrelse. - Gode muligheter for å omgjøre leiligheten til en treroms. - Mulighet for individuell nedbetaling av fellesgjeld. Trym Opsahl Skaare Eiendomsmegler Mobil 957 99 644 Send melding Didrik Klæstad Temte Eiendomsmegler Mobil 900 17 866 Send melding Ta kontakt for å avtale visning Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208366444,208366444,83842,3464688,3689,Leilighet,Eier(Selveier),1,51,5152,1937,NA,3525,57,NA,27649,747780,80846,1,3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
HOVSETER/RØA,"Hovseterveien 98, 0768 Oslo",3040000,Romslig 2-roms oppussingsobjekt - Balkong - Heis - Trappefritt - Kort vei til marka og off.komm - Godt førstegangskjøp,"Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning, Livsløpsstandard"," Ons. 24. februar 1630 - 1800 + Legg til i kalender Husk å melde deg på visning. Visningspåmelding Velkommen til Hovseterveien 98 - en romslig 2-roms med trappefri adkomst i attraktive Kollektivet borettslag.Dette er boligen for deg som ønsker å bo litt utenfor sentrum, med umiddelbar nærhet til marka, samtidig som det er kort gåavstand til T-bane og buss. KORT FORTALTOppussingsobjekt med store rom og fin planløsningNordvest-vendt balkong på ca. 7 kvmWalk-in closet/omkledningsromUsjenert og rolig beliggenhetGodt drevet borettslagKabel-tv, internett og varmtvann inkl. i felleskostnadeneTakterrasser med panoramautsiktHyggelig og sosialt borettslag med flere fellesfasiliteter som treningsrom, selskapslokale, Camilla Café, treningsrom og hybler til leie for beboerneFlere butikker- og servicetilbud i områdetEIE Røa ved Rajic & Overen Myhre ønsker velkommen på visning.Husk å melde deg på! Ons. 24. februar 1630 - 1800 + Legg til i kalender Husk å melde deg på visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208446800,208446800,15460,3244047,3679,Leilighet,Andel,1,53,53,1975,E-rød,9651,58,NA,32019,985081,188587,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Kværnerbyen,"Turbinveien 7, 0195 Oslo",2950000,"Delikat 2-roms med god planløsning - Vestvendt balkong - Heis - ""Alt"" inkl. og meget gunstig vilkår på fellesgjeld!","Balkong/Terrasse, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Tor. 25. februar 1700 - 1800 + Legg til i kalender Vi i EIE eiendomsmegling ønsker trygge visninger og lavest mulig smitterisiko. Visningene våre er derfor kun åpne for dem som har forhåndsavtale med megler. Benytt påmelding til visning eller kontakt megler direkte for å avtale et tidspunkt innenfor annonserte visning. Visningspåmelding En lys og romslig 2-roms med fantastisk beliggenhet i et nyetablert og attraktivt boligområde midt i Kværnerbyen. Boligen har en meget god planløsning som gjør at den oppleves større enn sine 40 kvm!Det er heisadkomst til leilighetsplan og en hyggelig svalgang hvor du kan ta med stol og frokost ut for å nyte morgensolen. Leiligheten ligger privat til hvor det er få andre beboere som går forbi leiligheten. Leiligheten har en luftig og god planløsning med flere innredningsmuligheter. Romslig stue med kjøkken i ""egen"" sone, soverom med eget omkledningsrom og vestvendt balkong og felles takterrasse.Videre er det verdt å merke seg at ""alt"" er inkl. i fellesutgifter, noe som bidrar til en ryddig og oversiktlig privatøkonomi. Avdragsfrihet på store deler av fellesgjelden til 2038 og 1,4% rente! Tor. 25. februar 1700 - 1800 + Legg til i kalender Vi i EIE eiendomsmegling ønsker trygge visninger og lavest mulig smitterisiko. Visningene våre er derfor kun åpne for dem som har forhåndsavtale med megler. Benytt påmelding til visning eller kontakt megler direkte for å avtale et tidspunkt innenfor annonserte visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208442477,208442477,8010,3808109,4816,Leilighet,Andel,1,40,40,2008,D-mørkegrønn,1113,44,NA,16742,821757,850099,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
,"Turbinveien 18, 0195 Oslo",6400000,"Moderne og stilig 4-roms leilighet med balkong og heis. Garasjeplass m/ el-billader, IN-ordning og fyring inkludert!","Takterrasse, Balkong/Terrasse, Garasje/P-plass, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Sentralt, Utsikt, Turterreng, Lademulighet"," Ons. 24. februar 18:00 - 19:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. 90508851 eller e-post ellen.celine.heireth@dnbeiendom.no for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt! Visningspåmelding Nå har du muligheten til å sikre deg en flott 4-roms leilighet fra 2012 med herlig atmosfære og moderne preg. Leiligheten har en god standard og gjennomgående planløsning. Det er store vinduer i stue, som gir godt med lysinnslipp og fra hovedsoverommet er det en hyggelig fransk balkong. Det er videre heis fra bakkeplan og garasjeplan og tilhørende garasjeplass i kjeller. I Kværnerbyen har du alt du måtte trenge i hverdagen. Dagligvarehandel kan gjøres hos KIWI på vei hjem fra skole eller jobb. Trenger findressen rens og skoene en puss, kan du levere dette til renseriet og skomakeren i gaten. Det er også apotek, frisør og treningssenter i umiddelbar nærhet. Ellers kort vei til sentrumskjernen, om man så tar beina fatt eller ønsker å benytte seg av kollektivt Ellen Celine Heireth Eiendomsmeglerfullmektig Mobil 905 08 551 Send melding Ons. 24. februar 18:00 - 19:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. 90508851 eller e-post ellen.celine.heireth@dnbeiendom.no for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208346458,208346458,8626,6721626,4653,Leilighet,Andel,3,77,79,2013,C-mørkegrønn,8904,82,NA,NA,1407130,313000,6,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Ensjø,"Gladengveien 15D, 0661 Oslo",7500000,Lys 4-roms toppleilighet med privat takterrasse på 25 kvm| Garasje| Vv. og fyring inkl.|fin utsikt| usjernert & sentralt,"Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet"," Tor. 25. februar 1700 - 1800 + Legg til i kalender Vi har tiltak mot Corona-viruset på våre visninger og vi oppfordrer alle til å melde seg på visning. Visningspåmelding Velkommen til Gladengveien 15 D - En flott 4-roms selveierleilighet høyt beliggende i blokkens topp etasje (8. etasje), med solrik privat takterrasse, gjennomgående god planløsning og en fin utsikt over bydelens områder!Leiligheten holder høy standard, og fremstår moderne med tidsriktige fargevalg og fine detaljer. Leiligheten har usjenert beliggenhet og er skjermet fra biltrafikk og byggestøy. Meget barnevennlig med kort vei til skole og barnehage, samt samt svært godt kollektivtilbud i umiddelbar nærhet. Takrerrasse på 25 kvm - Her har du dag- og kveldssolen til sent på kveld! Leiligheten var ny i 2012.Kort om boligen:Ny i 2012.3 soveromFott utsiktTakterrasse (25 kvm) med gode solforholdIngen innsynLave felleskostnaderInternett inkludertGarasjeplass med heisadkomstVelkommen! Tor. 25. februar 1700 - 1800 + Legg til i kalender Vi har tiltak mot Corona-viruset på våre visninger og vi oppfordrer alle til å melde seg på visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=204199431,204199431,196520,7696520,5203,Leilighet,Eier(Selveier),3,90,90,2012,D-mørkegrønn,6931,100,NA,20994,1564890,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
