location,address,price,title,facilities,description_text,ad_url,id,num,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,tomt,bruttoareal,boligselgerforsikring,formuesverdi,rom,tomteareal,fellesformue,festeavgift,kommunale_avg,renovert_ar,sikringsordning,grunnflate,solgtpris,utleiedel,new_building
Røa/Voksen skole,"Landingsveien 134, 0767 Oslo",6500000,"Lys og gjennomgående 4-roms med flotte solforhold. Terrasse x2, solid lagringsplass, parkering. Velkommen.","Balkong/Terrasse, Barnevennlig, Rolig, Moderne, Sentralt, Garasje/P-plass, Fiskemulighet, Bademulighet, Turterreng, Utsikt"," Søn. 14. mars 1600 - 1700 + Legg til i kalender Tir. 16. mars 1800 - 1900 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Orebakken, kanskje Oslos mest attraktive og populære borettslag, grunnet sine store, bilfrie og grønne fellesarealer (som gir deg følelsen av å bo i en park), kort vei til T-bane, buss og butikker, Tufteparken i Mærradalen, samt flere lekeplasser, sandkasser, klatrestativ, fotballbinge og områdets råeste akebakke for barna. Orebakken borettslag ligger rolig til ved foten av Holmenkollåsen.Leiligheten kort fortalt:Flott 4-roms.Enkel heisadkomst.3 soverom av god størrelse.Sydvestvendt innglasset balkong med fantastisk utsikt- og gode solforhold samt østvendt innglasset balkong på 4,5 kvm. Godt med lagringslass i bod + felles lagringsplasser.Mulighet for parkeringsplass.Kort vei til alt av dagligvare, idrettsanlegg, skoler, barnehager og kollektivtransport.VELKOMMEN TIL VISNING Søn. 14. mars 1600 - 1700 + Legg til i kalender Tir. 16. mars 1800 - 1900 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210065740,210065740,NA,60000,8032,6568032,3673,Leilighet,Andel,3,84,104,4,1972,G-rød,Eiet,110,Ja,1292960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ROMSÅS,"Odvar Solbergs vei 134, 0973 Oslo",2350000,Lys og praktisk 2-roms med innglasset markterrasse og egen hage - Moderniseringsbehov - Stort potensial - Garasjeplass,"Balkong/Terrasse, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Sentralt, Garasje/P-plass, Fiskemulighet, Turterreng, Offentlig, vann/kloakk"," Tor. 11. mars 1700 - 1800 Vi har tiltak mot Corona-viruset på våre visninger og vi oppfordrer alle til å melde seg på visning + Legg til i kalender Visningspåmelding Camilla Schrøder ved Eie har gleden av å presentere Odvar Solbergs vei 134, en lys, romslig og praktisk 2-roms med vestvendt, innglasset markterrasse samt egen stor og solrik hage, sentralt beliggende på populære Romsås!Lys, romslig og praktisk 2-romsArealeffektiv og smart planløsningInnglasset markterrasse på 12m2Stor hagedelVestvendtGode solforholdIngen gjenboereLys og luftigStore vindusflaterRomslig stuePraktisk bad, oppgradert i 2020Stort soverom med god plass til dobbeltsengWalk-in-closetAutomatsikringerNyere vinduerGarasjeplass i felles låsbart garasjeanlegg2 praktiske boder til oppbevaringModerniseringsbehovStort potensialMeget sentral beliggenhetKort vei til ""alt"" en trenger i en travel hverdagBarnevennlig områdeMarka er nærmeste naboSjelden sjanse, bør seesSkap din drømmebolig! Tor. 11. mars 1700 - 1800 Vi har tiltak mot Corona-viruset på våre visninger og vi oppfordrer alle til å melde seg på visning + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210065435,210065435,NA,412000,15504,2777504,3818,Leilighet,Andel,1,56,56,NA,1973,D-rød,NA,60,NA,721279,2,78789,12112,NA,NA,NA,NA,NA,NA,NA,FALSE
St. Hanshaugen,"Herman Foss' gate 14B, 0171 Oslo",5790000,"Lys, gjennomgående og klassisk 3-roms selveier med balkong. Høy standard, peis, rosett og stukkatur. Populær beliggenhet","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Turterreng"," Tor. 11. mars 16:30 - 17:30 + Legg til i kalender Søn. 14. mars 12:00 - 13:00 + Legg til i kalender Visningspåmelding Nordvik Eiendomsmegling har gleden av å presentere Herman Foss' gate 14B - En lys, klassisk og gjennomgående selveierleilighet i 3. etasje med balkong. Sjarmerende leilighet med optimal planløsning. Høy standard, lyse overflater, doble fløydører, stukkatur, rosett og takhøyde på 2,9m i stue. Bad og kjøkken pusset opp i 2017. To soverom i god størrelse og mulighet for kontorløsning.Verdt å merke seg:VedovnKlassiske detaljerBalkong på 3,5 m²Optimal planløsningGod vedlikeholdshistorikkKort vei til offentlig kommunikasjonTotalrenovert kjøkken og bad i 20171 kjellerbod på ca. 3,6 m² og 1 loftsbod på ca. 5,2 m²Meget attraktiv beliggenhet i indre bygård og i rolig gatePraktisk trappebod med opplegg for vaskemaskin rett utenfor leiligheten Tor. 11. mars 16:30 - 17:30 + Legg til i kalender Søn. 14. mars 12:00 - 13:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209633431,209633431,NA,150625,158142,6098767,3859,Leilighet,Eier(Selveier),2,59,59,3,1898,G-oransje,NA,65,NA,1174380,NA,734,19757,NA,NA,NA,NA,NA,NA,NA,FALSE
Lindeberg,"Lindebergåsen 14D, 1068 Oslo",2990000,Lekker og påkostet 3-roms endeleilighet med parsell og terrasse på 55 kvm - Varmtvann inkl - Nytt sikringsskap 2021,"Balkong/Terrasse, Barnevennlig, Fellesvaskeri, Hage, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Ons. 17. mars 17:30 - 18:30 + Legg til i kalender Visningspåmelding Lokalmegler Moshin Ali v/EiendomsMegler 1 har gleden av å presentere Lindebergåsen 14 D!En opprinnelig 2- roms leilighet som er ombygget, og fremstår som en 3- roms leilighet uten at dette er omsøkt og godkjent.Lys og fin entré med skyvedørsgarderobe, lekkert stue med delvis åpen kjøkkenløsning med god benk- og skapplass. Det er gulvvarme i stue og kjøkken. Moderne, flislagt bad og romslig soverom med skyvedørsgarderobe.Inngjerdet uteplass med en stor, trivelig markterrasse på ca 22 kvm med god plass for utemøbler og grill.Nabolaget er et rolig og barnevennlig område med lekeplasser og kort vei til både barnehage, skole, offentlig kommunikasjon og nærsenter med ulike servicetilbud. Ons. 17. mars 17:30 - 18:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209969941,209969941,NA,399401,8658,3398059,4870,Leilighet,Andel,2,66,66,-1,1976,NA,NA,73,NA,805688,2,6442,51156,NA,NA,NA,NA,NA,NA,NA,FALSE
Grefsen Stasjon,"Hans Nordahls gate 64, 0481 Oslo",6200000,Meget pen og attraktiv 4-roms i nybygg fra 2016. Stor solrik vestvendt balkong m/utsikt. Heis og Garasje*,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Heis, Husdyr, tillatt, Kabel-TV, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Tor. 11. mars 17:00 - 18:00 + Legg til i kalender Søn. 14. mars 13:00 - 14:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visningen via knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding Her bor du svært godt og enkelt til på populære Grefsen Stasjon med alt du trenger i umiddelbar nærhet! Norges største kjøpesenter og Imax kino finner du i kort gangavstand. I tillegg er alt av offentlig kommunikasjon i umiddelbar nærhet; både, buss, trikk, t-bane, tog og flybuss. Leiligheten har en moderne planløsning med en god standard. Leiligheten ligger fint til på Grefsen Stasjon i 5.etg. med utsikt fra den store vestvendte og solrike balkongen på 9 kvm. Grefsen Stasjon har flotte utearealer og lekeplasser for barn. I tillegg har beboere fortrinnsrett til barnehageplass. Leiligheten disponerer en bodplass på ca. 5 kvm. Parkeringsplass (p4-20) med heisadkomst og elbillading kan kjøpes hvis ønskelig for kr. 400.000,-Dette er både en leilighet og et område du garantert vil trives i! Tor. 11. mars 17:00 - 18:00 + Legg til i kalender Søn. 14. mars 13:00 - 14:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visningen via knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209876022,209876022,NA,NA,156342,6356342,3070,Leilighet,Eier(Selveier),3,75,75,5,2016,C-mørkegrønn,NA,84,NA,1430689,4,1649,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Stovner,"Tante Ulrikkes vei 46B, 0984 Oslo",2900000,Lekker og påkostet 3-roms med inngl. balkong - Nyere bad utført av fagfolk m/dokumentasjon - Garasje - Heis,"Balkong/Terrasse, Barnevennlig, Garasje/P-plass, Heis, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Man. 15. mars 17:30 - 18:30 + Legg til i kalender Visningspåmelding EiendomsMegler1 v/ Lokalmegler Mohsin Ali har gleden av å presentere Tante Ulrikkes vei 46B!En meget pen og moderne leilighet malt i pene, tidsriktige farger. Pent bad som ble oppusset i 2012, separat eldre kjøkken med spiseplass, flott stue med plass for spisegruppe og sofa. 2 koselige soverom med garderobeskap. Trivelig innglasset balkong mot vest og god utsyn. Leiligheten disponerer kjellerbod og garasjeplass.Meget barnevennlig område med kort vei til barnehager og skoler. Det er gangavstand til Stovner senter med bredt tilbud av nasjonale og internasjonale kafeer, restauranter, forretninger og servicetilbud. Kort vei til offentlige kommunikasjon. Kombinasjonen av fredelige, grønne omgivelser i et samtidig sentralt bomiljø gjør dette til en svært attraktiv bolig. Man. 15. mars 17:30 - 18:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209979213,209979213,NA,238006,8658,3146664,5037,Leilighet,Andel,2,69,80,4,1966,NA,NA,86,NA,830107,3,47241,9843,511660,NA,NA,NA,NA,NA,NA,FALSE
HOLMENKOLLEN/VOKSENTUNET,"Voksenkollveien 6, 0791 Oslo",85000000,"Et lite stykke Norge med panoramautsikt, hovedhus og 13 historiske bygg. Idyllisk, skjermet tomt like ved markagrensen.","Balkong/Terrasse, Peis/Ildsted, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning","Video Vi ønsker trygge visninger under koronautbruddet og ber deg derfor om å melde deg på visning. Dette gjøres ved å klikke på linken i boksen over, eller ved direkte kontakt med megler. Visningspåmelding Vi har gleden av å presentere Voksentunet, en sjeldenhet i særklasse med kultur og historie. Et lite stykke Norge like ved markagrensen med panoramautsikt og sol fra morgen til kveld. Består av hovedhus på 436 m², portnerbolig og historisk tunbebyggelse med bygg fra ulike tidsepoker (1600-1800-tallet). Byggene er gjenreist med god nøyaktighet, jevnlig vedlikeholdt siste 50 år og er således i god teknisk stand.Tomten på 12,9 mål er helt skjermet for innsyn. Parkmessig opparbeidet med store plenarealer i svakt skrånede terreng som er optimalt for utsikten.Voksentunet har uten overdrivelse en av hovedstadens aller beste beliggenheter. Høyt og fritt på Voksenkollen med Holmenkollbakken liggende som et flott monument sett fra eiendommen. Vi ønsker trygge visninger under koronautbruddet og ber deg derfor om å melde deg på visning. Dette gjøres ved å klikke på linken i boksen over, eller ved direkte kontakt med megler. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=191495497,191495497,NA,NA,2140642,87140642,NA,Enebolig,Eier(Selveier),7,541,990,NA,1972,G-rød,NA,NA,Ja,5311796,NA,12902,NA,NA,46986,NA,NA,NA,NA,NA,FALSE
Oppsal,"Solbergliveien 92, 0683 Oslo",4100000,Lekker 3-roms hjørneleilighet - Innglasset balkong  - Utsikt - Kort vei til marka - Mulighet for peis,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Utsikt, Turterreng","Video Tor. 11. mars 17:00 - 18:00 + Legg til i kalender Søn. 14. mars 12:00 - 13:00 + Legg til i kalender Kontakt megler via linken VISNINGSPÅMELDING for å avtale tidspunkt for din visning. Det vil ikke bli avholdt visning uten påmelding, og vi må vite hvor mange du kommer i følge med. Husk å bruke munnbind, samt å lese salgsoppgaven digitalt før visning. Visningspåmelding Velkommen til Solbergliveien 92! Dette er en lys og gjennomgående 3-roms beliggende i 3. etasje på populære Oppsal i Oslo. Boligen holder god standard og har 180 graders utsikt fra balkong. Her bor du like ved marka men likevel et kvarter fra Oslo sentrum. Området er for øvrig godt dekket med flere forretninger, skoler, barnehager og turområder. Verdt å merke seg: - Ingen avvik i tilstandsrapport- Flott utsikt mot Oslo sentrum fra balkongen og stuevinduet- Separat kjøkken og stor gang- Overflater malt 2020/2021- Boligen disponerer to kjellerboder og én loftsbod- Bad fra 2014 og kjøkken fra 2015- Lekeplasser, sittegrupper og store grøntarealer i umiddelbar nærhet- Sokner til Godlia skole- Under 25 min til JernbanetorgetVi sees på visning! Tor. 11. mars 17:00 - 18:00 + Legg til i kalender Søn. 14. mars 12:00 - 13:00 + Legg til i kalender Kontakt megler via linken VISNINGSPÅMELDING for å avtale tidspunkt for din visning. Det vil ikke bli avholdt visning uten påmelding, og vi må vite hvor mange du kommer i følge med. Husk å bruke munnbind, samt å lese salgsoppgaven digitalt før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210013181,210013181,NA,182000,8626,4290626,3359,Leilighet,Andel,2,67,76,3,1960,E-rød,NA,84,NA,955598,3,11337,18140,NA,NA,NA,NA,NA,NA,NA,FALSE
,"Eiriks gate 16, 0650 Oslo",3990000,"Pen 2-roms selveier fra 2004 med garasjeplass, 2 solrike balkonger, stor, felles takterrasse og gangavstand til sentrum.","Takterrasse, Balkong/Terrasse, Bredbåndstilknytning, Garasje/P-plass, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Lademulighet"," Lør. 13. mars 15:00 - 16:00 + Legg til i kalender Kontakt megler via linken VISNINGSPÅMELDING for å avtale tidspunkt for din visning. Det vil ikke bli avholdt visning uten påmelding, og vi må vite hvor mange du kommer i følge med. Husk å bruke munnbind, samt å lese salgsoppgaven digitalt før visning. Visningspåmelding Eiriks gate 16 er en pen, gjennomgående 2-roms selveierleilighet i sjette etasje, med urban og attraktiv beliggenhet i bygård fra 2004. Her bor man sentrumsnært omgitt av flere flotte parkanlegg for rekreasjon, og kan nyte gode solforhold på to egne balkonger og på en stor, felles takterrasse. Det disponeres garasjeplass i fellesanlegg. Innvendig fremstår leiligheten med lyse, duse fargevalg, og med unntak av bad er det parkett i alle rom. Her finnes en tiltalende stue i åpen løsning med kjøkken, hvor det er utgang til nordvestvendt balkong. I tillegg er det et helfliset bad med dusjkabinett og et innbydende soverom med utgang til balkong. Det er god skapplass og lagringsmuligheter i bod. Lør. 13. mars 15:00 - 16:00 + Legg til i kalender Kontakt megler via linken VISNINGSPÅMELDING for å avtale tidspunkt for din visning. Det vil ikke bli avholdt visning uten påmelding, og vi må vite hvor mange du kommer i følge med. Husk å bruke munnbind, samt å lese salgsoppgaven digitalt før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209992730,209992730,NA,NA,101092,4091092,3263,Leilighet,Eier(Selveier),1,52,52,6,2004,E-mørkegrønn,NA,57,NA,984223,2,3405,16360,NA,NA,NA,NA,NA,NA,NA,FALSE
Nordstrand,"Kaptein Oppegaards vei 8 B, 1164 Oslo",10900000,"Enebolig over to plan - Oppgraderingsbehov - Stor, solrik tomt - Barnevennlig villavei.","Barnevennlig, Garasje/P-plass, Hage, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt"," Ta kontakt for å avtale visning Visningspåmelding Velkommen til Kaptein Oppegaards vei 8 B, en enebolig over to plan med oppgraderingsbehov.Huset har grunnflate på ca. 90 kvm. og en spennede planløsning. Stor garasje integrert i boligens underetasje.Tomten er stor, solrik og grenser til Postdammen. Området er barnevennlig og trafikksjermet.Få minutters gange til kollektivtransport, servicetilbud, Munkerud skole, Niffen og fritidstilbud. Ta kontakt for å avtale visning Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210014970,210014970,NA,NA,273842,11173842,NA,Enebolig,Eier(Selveier),2,107,213,NA,1970,G-rød,NA,242,NA,2019722,NA,862,NA,NA,12620,NA,NA,NA,NA,NA,FALSE
