new_building,location,address,price,title,facilities,description_text,ad_url,id,num,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,rom,tomteareal,bruttoareal,fellesformue,formuesverdi,fellesgjeld,festeavgift,boligselgerforsikring,kommunale_avg,renovert_ar,tomt,grunnflate,sikringsordning,solgtpris,utleiedel
FALSE,Hoff/Abbediengen,"St. Georgs vei 65, 0280 Oslo",7800000,"Stor, gjennomgående 3(4)-roms endeleilighet med garasje, peis, solrik terrasse og balkong - Moderniseringsbehov","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Utsikt, Turterreng"," Man. 15. mars 16:30 - 16:50 + Legg til i kalender Man. 15. mars 16:50 - 17:10 + Legg til i kalender Man. 15. mars 17:10 - 17:30 + Legg til i kalender Tir. 16. mars 17:00 - 17:20 + Legg til i kalender Tir. 16. mars 17:20 - 17:40 + Legg til i kalender Tir. 16. mars 17:40 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Har du behov for privatvisning? Ta kontakt med megler på 469 30 878 eller v.myhre@nordvikbolig.no. Ta gjerne også kontakt hvis du trenger verdivurdering av egen bolig før visning. Husk også å lese salgsoppgave før visning. Visningspåmelding Lys og gjennomgående 3-roms endeleilighet beliggende rolig og grønt til på Hoff/Abbediengen, like ved Skøyen. Innvendig har leiligheten mange muligheter, men behov for oppussing/modernisering for å nå dagens krav til standard. Leiligheten har en god planløsning med store, funksjonelle rom med store vindusflater og mye naturlig dagslys. I tillegg byr leiligheten på to soverom, to bad, vaskerom og to uteplasser på henholdsvis 16,5 og 9 kvm med grønn og fin utsikt. Medfølgende parkeringsplass i garasjeanlegg.Kort fortalt:3-roms endelighet uten gjenboere i 2. etasjeOppussingsobjekt med stort potensiale Stor stue med peis og mye lysSolrik terrasse og balkongTo bad og vaskerom Garasjeplass og gjesteparkering Gåavstand til tog/off. kommunikasjon Man. 15. mars 16:30 - 16:50 + Legg til i kalender Man. 15. mars 16:50 - 17:10 + Legg til i kalender Man. 15. mars 17:10 - 17:30 + Legg til i kalender Tir. 16. mars 17:00 - 17:20 + Legg til i kalender Tir. 16. mars 17:20 - 17:40 + Legg til i kalender Tir. 16. mars 17:40 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Har du behov for privatvisning? Ta kontakt med megler på 469 30 878 eller v.myhre@nordvikbolig.no. Ta gjerne også kontakt hvis du trenger verdivurdering av egen bolig før visning. Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210449202,210449202,NA,196342,7996342,3803,Leilighet,Eier(Selveier),2,105,108,2,1985,F-oransje,3,13705,120,31341,1777417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Sagene/Alexander Kiellands plass,"Uelands gate 61 E, 0460 Oslo",4950000,"Lys, pen og romslig 3-roms hjørneleil. m/bad og Kjøkken fra 2008. Peisovn. Sentral beliggenhet m/kort avstand til ""alt""","Peis/Ildsted, Parkett, Barnevennlig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Man. 15. mars 1700 - 1800 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Vi har gleden av å presentere en flott og romslig 3-roms hjørneleilighet i Uelands gate 61 ELeiligheten ligger sentralt til, med nærhet til det meste av det du måtte trenge. Fra leiligheten er det kort avstand til blant annet Nydalen, Alexander Kiellands plass, St.hans Haugen og Grünerløkka. Romslige og gode romHjørneleilighet med store vindusflaterBad fra 2008Kjøkken fra 2008Peisovn i et av soverommeneGod takhøydeKjellerbod på ca. 8,8 kvmLoftsbod på ca. 12 kvmParkettgulv fra 2013Sentralt beliggende midt mellom Alexander Kiellands plass og SageneKorte avstander og gode muligheter for kollektiv trafikkFlere store parker like i nærhetenGodt investerings-/utleieobjektGjennomgående og god planløsning Man. 15. mars 1700 - 1800 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210527504,210527504,NA,136812,5148241,3098,Leilighet,Eier(Selveier),2,72,72,2,1932,E-rød,3,2645,81,21298,1101321,61429,112096,Ja,NA,NA,NA,NA,NA,NA,NA
FALSE,Løren,"Lørenvangen 36, 0585 Oslo",2500000,Lekker 2-roms leilighet i 4.etg med vestvendt balkong | Ny i 2016 | Kort vei til T-bane/buss | Ingen dok.avgift,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng"," Tir. 16. mars 16:30 - 17:30 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding Velkommen til Lørenvangen 36!Pen og moderne 2-roms andelsleilighet med vestvendt romslig balkong med fritt utsyn og strålende solforhold. Leiligheten fremstår nærmest som ny og er innflyttingsklar. Planløsningen gjør det enkelt å innrede boligen, og bidrar også til et lyst og behagelig inntrykk med store vindusflater og mye gulvplass. Høydepunkter- Romslig balkong med plass til sittegruppe og grill- Varmtvann og fyring inkl. - Oppgradert og moderne bad- Nybygg fra 2016- Dyrehold tillatt- Flere butikker i umiddelbar nærhet- IN-ordning på fellesgjeld- Praktisk innvendig bod m/vindu i tilknytning kjøkkenet- Pent felles gårdsrom med grillplass- Kort vei til kollektiv transport- Bod i tørr og moderne kjeller på 5,1 m2 - Gode muligheter for garasjeleie i område Jan Gunnar Grunden Eiendomsmegler Mobil 988 09 826 Send melding Christer Sebbah Eiendomsmegler Mobil 936 12 232 Send melding Tir. 16. mars 16:30 - 17:30 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210488089,210488089,NA,8626,4128626,5383,Leilighet,Andel,1,46,49,4,2016,C-mørkegrønn,2,1687,55,15638,1055302,1620000,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Hovin,"St. Jørgens vei 65, 0662 Oslo",5190000,Lekker og usjenert 3-roms hjørneleilighet med solrik balkong og flott utsyn i populært og frodig område. Oppusset i 2021,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Søn. 14. mars 13:00 - 13:15 + Legg til i kalender Søn. 14. mars 13:15 - 13:30 + Legg til i kalender Søn. 14. mars 13:30 - 13:45 + Legg til i kalender Søn. 14. mars 13:45 - 14:00 + Legg til i kalender Man. 15. mars 17:00 - 17:15 + Legg til i kalender Man. 15. mars 17:15 - 17:30 + Legg til i kalender Man. 15. mars 17:30 - 17:45 + Legg til i kalender Man. 15. mars 17:45 - 18:00 + Legg til i kalender Book visningstid via ""visningspåmelding""-knappen eller ta kontakt på 48 22 90 70 for å avtale visning. Ta kontakt med megler hvis oppsatt visning ikke passer for å avtale privatvisning. Husk å lese salgsoppgaven før visning, da denne ikke lenger deles ut i papirform pga smitterisiko. Visningspåmelding Velkommen til idylliske Hovin og St. Jørgens vei 65 - En meget attraktiv 3-roms hjørneleilighet med fantastisk beliggenhet, utelukkende vendt mot grøntareal, og solrik, sydvestvendt balkong. Leiligheten har en meget god intern beliggenhet i borettslaget med store frodige friområder rett utenfor døren. Kort vei til både T-bane og buss. Meget hyggelig bomiljø og godt naboskap. Her bor du svært sentralt, samtidig stille og rolig i grønne idylliske omgivelser. Høydepunkter: Solrik sydvestvendt balkong med god plass til sittegruppe og grill Nye vinduer og balkongdører i 2017 Lave felleskostnader Flytt rett inn Tre boder Meget god intern beliggenhet Det kan settes inn peisovn i stue Borettslaget er meget populært og godt vedlikeholdtMå ses! Søn. 14. mars 13:00 - 13:15 + Legg til i kalender Søn. 14. mars 13:15 - 13:30 + Legg til i kalender Søn. 14. mars 13:30 - 13:45 + Legg til i kalender Søn. 14. mars 13:45 - 14:00 + Legg til i kalender Man. 15. mars 17:00 - 17:15 + Legg til i kalender Man. 15. mars 17:15 - 17:30 + Legg til i kalender Man. 15. mars 17:30 - 17:45 + Legg til i kalender Man. 15. mars 17:45 - 18:00 + Legg til i kalender Book visningstid via ""visningspåmelding""-knappen eller ta kontakt på 48 22 90 70 for å avtale visning. Ta kontakt med megler hvis oppsatt visning ikke passer for å avtale privatvisning. Husk å lese salgsoppgaven før visning, da denne ikke lenger deles ut i papirform pga smitterisiko. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210495882,210495882,NA,8626,5300460,2931,Leilighet,Andel,2,66,66,2,1955,G-rød,3,61436,73,NA,1149105,101834,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Nydalen,"Nydalen alle 11, 0484 Oslo",8650000,"Lekker leilighet i hjertet av Nydalen med Akerselva<br/>som nærmeste nabo -sydvendt balkong (10 kvm), hybeldel og heis","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Hage, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Bademulighet, Turterreng, Lademulighet"," Søn. 14. mars 15:30 - 16:30 + Legg til i kalender Man. 15. mars 16:30 - 17:30 + Legg til i kalender Visningspåmelding Hjørneleilighet beliggende rett ved Akerselva i Solsiden sameie som stod ferdig i 2006 . Leiligheten holder en gjennomgående god standard med delvis nyoppusset hybel i 2021.- Romslig, sydvendt balkong på 10 kvm. - Lave fellesutgifter med bla. varmtvann og fyring inkl. - Fantastisk beliggenhet rett ved Akerselven- T-bane og bussforbindelser rett ved leiligheten- Svært effektiv og god planløsning- Godt med oppbevaringsplass- Walk-in- 4. etasje med heisadkomst- Mulig å leie garasjeplass fra Avantor- Godt utleieobjekt, selger har leid ut hybelen for kr 9 900,- pr. mnd. Søn. 14. mars 15:30 - 16:30 + Legg til i kalender Man. 15. mars 16:30 - 17:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210486103,210486103,NA,217592,8867592,5611,Leilighet,Eier(Selveier),3,101,104,4,2006,D-mørkegrønn,4,1197,NA,24722,1909924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Fagerborg/Jessenløkken,"Gørbitz' gate 2, 0360 Oslo",13950000,Unik og romslig 4- roms leilighet med sørøstvendt balkong og to bad | Totalrehabilitert 2018-2019 | Garasje* | Må sees!,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Kabel-TV, Parkett, Peis/Ildsted, Rolig, Sentralt"," Søn. 14. mars 13:00 - 14:00 + Legg til i kalender Man. 15. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Velkommen til Gørbitz' gate 2! En storslagen 4- roms gjennomgående hjørneleilighet, med flott beliggenhet på Fagerborg/Jessenløkken. Leiligheten totalrehabilitert i 2018/2019, med høy standard i alle ledd. Gulvvarme i alle rom, flott Huseby-kjøkken, to rålekre bad, sørøstvendt balkong, takhøyde på 2,79 meter, peis, en-stavs parkett, LED-downlights i alle rom, 27 kvm bodplass, og mye mer. Yttervegger er isolert, nytt elektrisk anlegg (med USB-port på soverom, bad og kjøkken), ny ytterdør, nye vinduer og nye vannrør (rør-i-rør). Liten, felles etasjebalkong med kveldssol. Selger eier en garasjeplass med el-bil lader i Marienlyst garasjeanlegg som kan kjøpes separat etter avtale med selger. Dette er en unik leilighet med en fantastisk romfølelse, som må oppleves! Søn. 14. mars 13:00 - 14:00 + Legg til i kalender Man. 15. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210504503,210504503,NA,12620,14156598,5704,Leilighet,Aksje,3,144,148,3,1922,E-oransje,4,688,166,112486,2586975,193978,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Kværnerbyen,"Freserveien 41, 0195 Oslo",4350000,Delikat og moderne 2-R med solrik balkong - Meget god intern beliggenhet - Lave fellesutg. - Må oppleves!,"Takterrasse, Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Ons. 10. mars 17:30 - 17:50 + Legg til i kalender Ons. 10. mars 17:50 - 18:10 + Legg til i kalender Ons. 10. mars 18:10 - 18:30 + Legg til i kalender Visningspåmelding Velkommen til Kværnerbyen Terrasse!En moderne, lys og attraktiv 2-roms eierleilighet fra 2016 med en praktisk planløsning og meget god standard. Her bor du svært sentralt med nærhet til alle byens fasiliteter. Leiligheten har en meget god intern beliggenhet i blokken. Svært gode kollektivforbindelser i alle retninger.Her kan du flytte rett inn i et meget hyggelig og sentralt område. Stor og åpen balkong på 15 kvm - følelse av toppetasje! Generøs takhøyde - 2.80M Godt førstegangskjøp, utleieobjekt eller pendlerbolig Veldrevet sameie og hyggelig nabolag Moderne og nyere standard (2016) Easy living alt i nærheten Fjernvarme og fiber inkl. i felleskostnadene Meget gode kollektivforbindelser Ons. 10. mars 17:30 - 17:50 + Legg til i kalender Ons. 10. mars 17:50 - 18:10 + Legg til i kalender Ons. 10. mars 18:10 - 18:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207296439,207296439,NA,110092,4460092,2531,Leilighet,Eier(Selveier),1,53,53,6,2016,B-mørkegrønn,2,8952,58,10782,1041292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Grünerløkka,"Herslebs gate 15C, 0561 Oslo",3650000,Innholdsrik og sentral 2-roms selveierleilighet med peisovn og gode kollektivforbindelser. Lave felleskostnader!,"Peis/Ildsted, Kabel-TV, Sentralt, Fiskemulighet, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Søn. 14. mars 1400 - 1500 + Legg til i kalender Man. 15. mars 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Leiligheten ligger i en klassisk bygård i et attraktivt område på populære Grünerløkka - midt i smørøyet og med kort vei til et rikt utvalg av butikker, treningssentre, restauranter og alt annet Oslo har å by på. Den er gjennomgående og lys, med store vindusflater som gir en fantastisk atmosfære. Det er parkett på gulvet i hele leiligheten unntatt badet og nymalte overflater. Her er det enkelt å innrede og sette sitt personlige preg.Leiligheten ligger skjermet til i 2.etasje og består av entré, stue med peisovn, separat kjøkken med utsikt til en hyggelig bakgård, stort soverom med plass til hjemmekontor og bad.Med få minutters gange til sentrumskjernen, Botanisk Hage, parkene på Løkka og fine turmuligheter langs Akerselva er dette den perfekte beliggenheten. Søn. 14. mars 1400 - 1500 + Legg til i kalender Man. 15. mars 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210520355,210520355,NA,102820,3752820,2443,Leilighet,Eier(Selveier),1,53,53,2,1898,NA,2,593,59,9886,951969,NA,NA,Ja,NA,NA,NA,NA,NA,NA,NA
FALSE,# Grünerløkka,"Markveien 56C, 0550 Oslo",3300000,"Klassisk og romslig 2-roms med balkong | Separat kjøkken | Takhøyde (2,8 m) | Vinduer 2017 | Varmtvann inkl | IN-ordning","Balkong/Terrasse, Barnevennlig, Rolig, Kabel-TV, Sentralt, Turterreng, Utsikt"," Søn. 14. mars 1430 - 1530 + Legg til i kalender Man. 15. mars 1600 - 1700 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Velkommen til Markveien 56C! Flott, gjennomgående og luftig 2-roms med fantastisk beliggenhet i populære Markveien på beste Grünerløkka - med alt i umiddelbar nærhet!. Leiligheten har en god planløsning, med kvaliteter som tregulv, god takhøyde (2,8 meter) og store vindusflater.Balkong med morgensol vendt mot hyggelig gårdsromVinduer fra 2017Separat kjøkken med rom for spisebord + alt av integrerte hvitevarerFlislagt bad med opplegg for vaskemaskin og tørketrommelNy vask og glassdør montert på baderom 2020Soverom vender mot gårdsromIN-ordning og sikringsordningInnfris IN-lån reduseres felleskostnadene til kr 4.370,- pr mndLeiligheten har en perfekt beliggenhet på sentrale Grünerløkka med ""alt"" i umiddelbar nærhetBredt servicetilbud og flere idylliske parker i nærområdet Søn. 14. mars 1430 - 1530 + Legg til i kalender Man. 15. mars 1600 - 1700 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210516476,210516476,NA,16003,4381301,6686,Leilighet,Andel,1,43,43,3,1889,F-rød,2,1191,47,20209,812354,1065298,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,#Øvre Grünerløkka,"Christies gate 34 B, 0557 Oslo",4300000,"Stilren, romslig og gjennomgående 3-roms | Kjøkken 2018 | Bad og soilrør 2012 | Peis | In-ordning & ingen dok.avgift","Peis/Ildsted, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 14. mars 1300 - 1400 + Legg til i kalender Man. 15. mars 1730 - 1830 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Velkommen til Christies gate 34B! Pen, romslig 3-roms med god og gjennomgående planløsning. Leiligheten har blitt betydelig oppgradert i de senere år og fremstår moderne og tidsriktig.Kort fortalt:Flott kjøkken fra 2018 med alt av integrerte hvitevarerBad rehabilitert i 2012 i regi av aksjelagetVinduer fra 2009/10Malte og tapetserte overflater 2018IN-ordning - felleskostnadene kan reduseres til 3.984,- pr mnd ved innfrielse av gjeld med INPeis med innsats i stueKjellerbod på ca 5 m² og loftsbod på ca 3,5 m²Veldrevet aksjelag med god vedlikeholdshistorikkVarmtvann, kabel-tv og bredbånd er inkl. i felleskostGod beliggenhet i rolige omgivelser, allikevel kort vei til hovedgatene på GrünerløkkaBredt servicetilbud og flere idylliske parker i nærområdet Søn. 14. mars 1300 - 1400 + Legg til i kalender Man. 15. mars 1730 - 1830 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210514623,210514623,NA,11860,4663447,5745,Leilighet,Aksje,2,67,67,1,1929,G-oransje,3,778,72,64946,1071774,351587,NA,NA,NA,NA,NA,NA,NA,NA,NA
