new_building,location,address,price,title,facilities,description_text,ad_url,id,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,rom,tomteareal,bruttoareal,formuesverdi,num,fellesformue,boligselgerforsikring,tomt,renovert_ar,kommunale_avg,festeavgift,festear,grunnflate,sikringsordning,utleiedel
FALSE,Miljøgate ved Sofienbergparken,"Skjelderups gate 14B, 0559 Oslo",6200000,"Drømmeleilighet totalrenovert i 2021. 3-roms med nydelige detaljer, balkong og peis. Attraktiv beliggenhet i miljøgate.","Balkong/Terrasse, Peis/Ildsted, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning, Livsløpsstandard"," Tor. 18. mars 1700 - 1830 + Legg til i kalender Søn. 21. mars 1400 - 1530 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Teo Hadzic v/PrivatMegleren Grünerløkka har gleden av å presentere en strøken og totalrenovert 3-roms med solide kvaliteter, hvor alt er nytt (unntatt vinduer og balkongdør). Dette er en leilighet av høy standard, hvor klassiske detaljer er godt bevart. Et perfekt kjøp for deg som ønsker det ypperste av bokvalitet.Leiligheten har en attraktiv beliggenhet i en klassisk bygård ved Sofienbergparken. Innvendig er det i 2021 gjort omfattende totalrenovering med alt av arbeid utført av fagfolk. Lekkert kjøkken fra Kvik med hvitevarer fra Bosch og AEG, nytt og moderne baderom med armatur fra Tapwell, og nydelige detaljer som stukkatur, rosett, teglsten og klassisk peis. Gjennomgående og god planløsning med to store soverom og herlig balkong med nytt trykkimpregnert furugulv.Velkommen til visning. Tor. 18. mars 1700 - 1830 + Legg til i kalender Søn. 21. mars 1400 - 1530 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=211101158,211101158,62683,8060,6270743,4364,Leilighet,Andel,2,62,62,4,1899,F-oransje,3,464,75,1418832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,St.Hanshaugen / Bislett,"Dalsbergstien 22E, 0170 Oslo",3690000,Lys og arealeffektiv 2-roms leilighet - Heis - Mulighet for kjøp av garasjeplass* - Sentral beliggenhet,"Parkett, Heis, Kabel-TV, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Man. 22. mars 1700 - 1800 + Legg til i kalender Tir. 23. mars 1700 - 1800 + Legg til i kalender Vi har tiltak mot Corona-viruset på våre visninger og vi oppfordrer alle til å melde seg på visning. Visningspåmelding Lys og arealeffektiv 2-roms leilighet med en meget sentral beliggenhet på Bislett. Fra boligen er det gangavstand til offentlig kommunikasjon, parkområder og det meste av servicetilbud. Leiligheten har en åpen stue/kjøkken løsning med praktisk og plassbesparende skyvedør inn til soverommet. Fra soverommet er det adkomst til leilighetens baderom.Sentral og populær beliggenhetStore vindusflaterKjøkkeninnredning med integrerte hvitevarer, samt opplegg for oppvaskmaskinBaderom med opplegg for vaskemaskinHeis i byggetLagringsmuligheter i kjellerbodMulighet for kjøp av garasjeplass*Umiddelbarnærhet til OsloMet og offentlig kommunikasjonGangavstand til parker og det meste av servicetilbudHusk å meld deg på visning. For privatvisning, ta kontakt med megler! Man. 22. mars 1700 - 1800 + Legg til i kalender Tir. 23. mars 1700 - 1800 + Legg til i kalender Vi har tiltak mot Corona-viruset på våre visninger og vi oppfordrer alle til å melde seg på visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=211211201,211211201,NA,101270,3791270,1959,Leilighet,Eier(Selveier),1,36,36,2,1997,C-mørkegrønn,NA,1516,40,822486,NA,4033,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Grünerløkka,"Sannergata 5B, 0557 Oslo",3900000,Lys og trivelig 2(3)-roms m/sydvendt balkong - Separat kjøkken - Gjennomgående - Varmtvann og fyring inkl.,"Balkong/Terrasse, Bredbåndstilknytning, Heis, Ingen, gjenboere, Kabel-TV, Sentralt"," Søn. 21. mars 12:00 - 13:00 + Legg til i kalender Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Velkommen til Sannergata 5B - en pen og lys 2-roms med en gjennomgående planløsning og mange kvaliteter: - IN-ordning, mulighet for nedbetale deler av fellesgjelden - Gulv og overflater er pusset opp de senere år- Solrik, sydvendt balkong - Bad fra 2006 i pusset opp i regi aksjelaget - TG1 registret av takstmann- Vinduer fra 2018 - Separat kjøkken og mulighet for å flytte kjøkken ut i stuen - Må godkjennes av styret - Svært god vedlikeholdshistorikk i aksjelaget - God takhøyde på 2,67 meter - Varmtvann, fyring og kabel-tv inkl. i fellesutgiftene - Ingen forkjøpsrett- Ingen dokumentavgift - Populær beliggenhet på øvre Grünerløkka like ved Akerselva- 2 eksterne boder - Fine turstier langs Akerselva til sentrum eller nordover til marka Søn. 21. mars 12:00 - 13:00 + Legg til i kalender Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210878863,210878863,419000,12620,4331620,4883,Leilighet,Aksje,1,51,51,2,1942,F-mørkegrønn,2,1077,57,897034,NA,9382,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Majorstua,"Bogstadveien 1, 0355 Oslo",4950000,"Lys 3-r hjørneleilighet med karnapp, heis og felles takterrasse | Oppussingsbehov | Selveier | Meget sentral beliggenhet","Takterrasse, Heis, Husdyr, tillatt, Kabel-TV, Sentralt"," Søn. 21. mars 14:00 - 15:00 + Legg til i kalender Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Velkommen til Bogstadveien 1! En lys 3- roms selveierleilighet med et stort potensiale. Meget sentral beliggenhet på Majorstuen med umiddlbar nærhet til det meste Oslo har å by på. Den interne beliggenhet gir rikelig med naturlig lys, og gir en fin atmosfære. Leiligheten har karnapp som gir en fint særpreg på leilighet. Solrik, felles takterrasse med adkomst fra byggets heis. Leiligheten har oppussingsbehov. Ønsker du å skape din egen drømmeleilighet, eller ønsker du en leilighet som egner seg godt for utleie? Da er dette leiligheten for deg!Oppsumert:- Oppussingbehov- Felles takterrasse med sol hele dagen- Hjørneleilighet- Sentralt på Majorstuen Søn. 21. mars 14:00 - 15:00 + Legg til i kalender Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=211128911,211128911,60780,126592,5137372,3615,Leilighet,Eier(Selveier),2,61,63,3,1990,E-rød,3,2307,70,1387936,NA,34022,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Bjerke Panorama,"Refstadveien 42, 0589 Oslo",3900000,Lys og pen 2-roms leilighet med stor markterrasse m/ 24kvm hage - Garasjeplass m/ mulighet for lader - Lave felleskost.,"Takterrasse, Balkong/Terrasse, Barnevennlig, Garasje/P-plass, Heis, Husdyr, tillatt, Sentralt"," Søn. 21. mars 12:00 - 13:00 + Legg til i kalender Man. 22. mars 17:30 - 18:30 + Legg til i kalender Visningspåmelding En pen og lys 2-roms selveierleilighet beliggende i 3. etasje i boligblokk fra 2012. Boligen har en markterrasse/uteparsell med hage på hele 24 kvm. Her kan det nytes varme sommerdager. Sameiet har i tillegg en flott, felles takterrasse med fantastisk utsikt og sittegrupper. Det medfølger en garasjeplass i felles garasjeanlegg i kjeller med mulighet for å sette opp ladestasjon til El-bil. Innvendig er boligen gjennomgående holdt i tidsriktige og delikate farger. Flere store vindusflater gir store mengder med naturlig lys til boligen. Stuen er lys og romslig. Kjøkken fra Sigdal, pent flislagt bad med dusjhjørne samt et lyst og luftig soverom. Søn. 21. mars 12:00 - 13:00 + Legg til i kalender Man. 22. mars 17:30 - 18:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210670430,210670430,NA,98842,3998842,2511,Leilighet,Eier(Selveier),1,47,48,3,2012,B-mørkegrønn,2,8185,52,843102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Lambertseter,"Bergkrystallen 15, 1155 Oslo",4250000,Pen og moderne 3-roms leilighet med attraktiv beliggenhet. Nyere kjøkken og bad. Solrik balkong mot vest.,"Balkong/Terrasse, Barnevennlig, Ingen, gjenboere, Parkett, Peis/Ildsted, Rolig, Sentralt"," Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Kontakt megler på telefon eller via linken VISNINGSPÅMELDING for å avtale tidspunkt for visning. Det vil ikke bli avholdt visning uten påmelding. Les salgsoppgaven digitalt, da papirform i utg. pkt. utgår pga. smitterisiko. Visningspåmelding Meget pen og gjennomgående 3-roms leilighet med vestvendt og solrik balkong, vendt mot stort og åpent friområde. En pen og moderne leilighet med bl.a. 1-stavs parkett, nymalte overflater, kjøkken fra 2016 og bad pusset opp i regi av borettslaget fra 2014. Trafikkskjermet leilighet med umiddelbar nærhet til T-banestasjon, matbutikk og store grøntområder, samt et rikt service- og fritidstilbud i nærmiljøet. Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Kontakt megler på telefon eller via linken VISNINGSPÅMELDING for å avtale tidspunkt for visning. Det vil ikke bli avholdt visning uten påmelding. Les salgsoppgaven digitalt, da papirform i utg. pkt. utgår pga. smitterisiko. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=211192622,211192622,308000,8626,4566626,3210,Leilighet,Andel,2,65,66,3,1958,F-rød,3,62448,72,1026102,NA,13256,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Bislett/Adamstuen,"Stensgata 26A, 0358 Oslo",5100000,Klassisk og gjennomgående 3-r selveier i høy 1. etasje m/ moderniseringsbehov| Stukkatur & rosett |Bad 2013 | 16 kvm bod,"Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Peis/Ildsted, Rolig, Sentralt"," Søn. 21. mars 12:00 - 13:00 + Legg til i kalender Man. 22. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Velkommen til Stensgata 26A! En klassisk og gjennomgående 3- roms selveierleilighet i høy 1. etasje, med meget attraktiv beliggenhet i Stensgata, like ved Stensparken. Leiligheten har fine klassiske detaljer som stukkatur, rosett og peisovn. Store vindusflater gir godt med naturlig dagslys, som i kombinasjon med den gjennomgående planløsningen gir en lys og luftig atmosfære. Leiligheten har bad fra 2013, ny inngangsdør fra 2021 og sikringer fra Mars 2021. Totalt 16 kvm bodplass gir godt med oppbevaringsmuligheter. Boligen har noe moderniseringbehov. - Attraktiv beliggenhet på Bislett/Adamstuen, like ved Stensparken- Enkel adkomst til høy 1. etasje- Noe moderniseringsbehov- Godt egnet for utleie Søn. 21. mars 12:00 - 13:00 + Legg til i kalender Man. 22. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=211127342,211127342,56653,130242,5286895,2756,Leilighet,Eier(Selveier),2,64,64,1,1895,G-rød,3,838,72,1219193,NA,63007,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,# TØYEN,"Jens Bjelkes gate 86 C, 0652 Oslo",3750000,"Selveiet 2(3)-roms topp- og hjørneleilighet | bad 2018 | originale tregulv | ""alt"" inkl. | gode lysforhold | utleie*","Ingen, gjenboere, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Man. 22. mars 1530 - 1630 + Legg til i kalender Tir. 23. mars 1530 - 1630 + Legg til i kalender Ta kontakt med megler dersom du ønsker en privat visning! Visningspåmelding Velkommen til en kjempefin 2(3)-roms selveierleilighet midt på Tøyen!Topp- og hjørneleiligheten ligger i 5. etasje med mange store vindusflater som gir svært gode lysforhold. I tillegg er planløsningen gjennomgående og sørger for en ekstra luftig følelse. Rommene er enkle å møblere og det er mulighet for å etablere et ekstra soverom ved å flytte kjøkkenet inn i stuen. Leilighetens standard oppleves som god med blant annet nytt bad- og røropplegg fra 2018, slipte originale tregulv og pent kjøkken. I tillegg ble hele leiligheten malt i 2019. Sentralfyring og varmtvann tilkoblet fjernvarme og internett er inkludert i felleskostnadene. Sameiet er veldriftet og har en god vedlikeholdshistorikk. Utleie er tillatt. Loft- og kjellerbodFlere parker rett i nærheterPopulært område med enorm vekst Man. 22. mars 1530 - 1630 + Legg til i kalender Tir. 23. mars 1530 - 1630 + Legg til i kalender Ta kontakt med megler dersom du ønsker en privat visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=106983917,106983917,245000,7650,4002650,5462,Leilighet,Eier(Selveier),1,55,55,5,1939,G-mørkegrønn,2,1130,60,924327,NA,16912,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Oppsal,"Oppsaltoppen 19B, 0687 Oslo",3500000,Stor & gjennomgående 2-roms med vestvendt balkong - Separat kjøkken - God intern beliggenhet,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt, Bademulighet, Fiskemulighet, Turterreng"," Søn. 21. mars 13:00 - 14:00 + Legg til i kalender Man. 22. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Sindre Nyhus v/Krogsveen har gleden av å presentere denne romslige og herlige leiligheten på Oppsal. Leiligheten er en gjennomgående 2-roms leilighet i 3. etasje, med separat kjøkken og solrik balkong. Her bor du godt i et stille og rolig strøk, og med nærhet til marka. Samtidig gir beliggenheten på Oppsaltoppen nærhet til offentlig kommunikasjon, dagligvare mm. Høydepunkter:Bad tatt i regi av borettslaget i 2009Separat kjøkkenVestvendt balkong med sol fra ca. kl. 14 til 21 sommerstidIngen innsynGjennomgående planløsningStort soverom med nyere, stort garderobeskapLeiligheten disponerer to boderFyring og vartmvann inkludert i felleskostnadeneGod intern beliggenhet i borettslaget Søn. 21. mars 13:00 - 14:00 + Legg til i kalender Man. 22. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=211009630,211009630,53000,8626,3561626,3019,Leilighet,Andel,1,54,54,3,1956,NA,2,19665,60,752322,NA,13203,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Bergkrystallen,"Steinspranget 41, 1156 Oslo",4200000,"Oppusset, lekker og tidløs 3-roms ende-/toppleilighet med vestvendt balkong","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Ingen, gjenboere, Kabel-TV, Parkett, Peis/Ildsted, Rolig, Sentralt, Turterreng"," Man. 22. mars 18:00 - 19:00 + Legg til i kalender Kontakt megler via linken VISNINGSPÅMELDING for å avtale tidspunkt for din visning. Det vil ikke bli avholdt visning uten påmelding, og vi må vite hvor mange du kommer i følge med. Husk å bruke munnbind, samt å lese salgsoppgaven digitalt før visning. Visningspåmelding Lekker og oppusset 3-roms ende-/toppleilighet på populære Bergkrystallen. Rolig beliggenhet godt tilbaketrukket fra vei med umiddelbar nærhet til kollektivtransport, matbutikker, skole og et godt aktivitetstilbud. Hele leiligheten, foruten badet, ble pusset opp i 2015/16 og fremstår som strøken med farger og innredning i en lys og tidløs stil. Her er det lagt vekt på eksklusive og nøye planlagte materialvalg hvor lite er overlatt til tilfeldighetene. Leiligheten inneholder bla. et lekkert og romslig kjøkken i åpen løsning mot stue/spisestue, og utgang til vestvendt balkong. To gode soverom, pent flislagt bad, samt romslig entré. Godt med lagringsplass i fire boder.En meget pen, og i ordets rette forstand, innflytningsklar leilighet som gir et særdeles godt helhetsinntrykk. Bør sees! Man. 22. mars 18:00 - 19:00 + Legg til i kalender Kontakt megler via linken VISNINGSPÅMELDING for å avtale tidspunkt for din visning. Det vil ikke bli avholdt visning uten påmelding, og vi må vite hvor mange du kommer i følge med. Husk å bruke munnbind, samt å lese salgsoppgaven digitalt før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=210861688,210861688,82000,8626,4290626,3303,Leilighet,Andel,2,67,67,3,1955,G-rød,3,34607,74,1014876,NA,24718,NA,NA,NA,NA,NA,NA,NA,NA,NA
