new_building,location,address,price,title,facilities,description_text,date_changed,ad_url,id,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,byggear,energimerking,rom,tomteareal,bruttoareal,formuesverdi,etasje,fellesformue,festeavgift,num,boligselgerforsikring,kommunale_avg,grunnflate,sikringsordning,renovert_ar,tomt,solgtpris,festear,utleiedel
FALSE,,"Sars` gate 31D, 0562 Oslo",3990000,"Meget innbydende, svært lys og gjennomgående 2(3)-roms med omgjøringspotensial. Nyere bad/wc (2017) og kjøkken (2016).","Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Ta kontakt for å avtale visning Visningspåmelding Sentralt og attraktiv, men samtidig rolig og tilbaketrukket beliggenhet ved idylliske Botanisk hage, i et meget populært og veldrevet boligselskap. Gangavstand til alt Grünerløkka har og by på.Meget innbydende, lys og gjennomgående planløsning med svært gode lysforhold fra store vindusflater. Meget pent flislagt bad fra 2017, ytterligere fornyet med stor dusjsone med regnfalsdusj i 2020.Ny, enstavs laminatparkett og moderne malte flater i samtlige oppholdsrom. Nye vinduer i 2019.Tidløst, romslig og moderne kjøkken fra 2016 med velegnet spiseplass ved vindu med pent utsyn mot parkmessig opparbeidet indre gårdsrom. Romslig soverom med svært god oppbevaringsplass.Gode omgjøringsmuligheter til 3-roms, se alternativ plantegning.Fyring, varmtvann, digital-tv og internett ink. i felleskostnad. Ta kontakt for å avtale visning Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=211362509,211362509,255186,19470,4264656,4912,Leilighet,Aksje,2,52,52,1940,G-mørkegrønn,2,11484,58,1050346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Idylliske Kampen,"Normannsgata 71, 0655 Oslo",4400000,Lys og hyggelig 2(3)-roms med vestvendt balkong | Peis |Kjøkken (2017)| Originale tregulv | Gjennomgående | Sentralt,"Balkong/Terrasse, Bredbåndstilknytning, Husdyr, tillatt, Offentlig, vann/kloakk, Peis/Ildsted, Sentralt, Vaktmester-/vektertjeneste",360° visning Man. 29. mars 18:00 - 19:00 + Legg til i kalender Tir. 30. mars 16:30 - 17:30 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding Velkommen til Normannsgata 71 - presentert av Caroline Ephraim i Eiendomsmegler 1 Gamle Oslo. Her bor du i meget sjarmerende omgivelser på Kampen. Leiligheten ligger i 3. etasje og nyter god og gjennomgående planløsning. Utenfor lys stue med vedovn er det vestvendt balkong. Kjøkkenet ble oppusset med flott innredning i 2017 og leiligheten er lyst og tiltalende oppmalt. Kampens byggeselskap er meget veldrevet og har god vedlikeholdshistorikk. Tilgang til parkmessige opparbeidet fellesarealer.Kort fortalt:- Vestvendt balkong- Lys stue med vedovn- Eget kjøkkenrom- Mulighet for ekstra soverom- Stort soverom med garderobe- Bad med opplegg for vaskemaskin- Kott og to medfølgende boder- Godt drevet aksjeselskap- Ved Kampen park- 350 m til Ensjø T-bane- Gangavstand til Tøye Man. 29. mars 18:00 - 19:00 + Legg til i kalender Tir. 30. mars 16:30 - 17:30 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding,2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=212224893,212224893,70000,12620,4482620,3113,Leilighet,Aksje,1,50,51,1934,F-rød,2,183,56,859984,3,31252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,,"Akersbakken 5, 0172 Oslo",4690000,"St.Hanshaugen - Lys, stilren og sjarmerende 2-roms. Solrik balkong. Idyllisk utsikt. Attraktiv og skjermet beliggenhet","Balkong/Terrasse, Peis/Ildsted, Ingen, gjenboere, Rolig, Sentralt, Offentlig, vann/kloakk, Utsikt, Fellesvaskeri, Bredbåndstilknytning","360° visning Søn. 28. mars 1430 - 1530 + Legg til i kalender Ta kontakt på 993 55 611 eller 970 64 800 for å avtale privatvisning. Visningspåmelding Velkommen til Akersbakken 5 - en unik 2-roms med personlighet og sjarm.Ta kontakt for å avtale privatvisning!Leiligheten har en gjennomgående og god planløsning med et godt lysinnslipp og høy standard. Boligen byr på flere sjarmerende detaljer som originalt tregulv, originale skap, peisovn og spesieltilpasset retro kjøkkeninnredning fra Sivesind. Her sitter det mye sjel i veggene og den gode atmosfæren er til å ta og føle på.Beliggenheten mellom St.Hanshaugen, Grünerløkka og Fredensborg er ettertraktet. Her bor du midt i hjertet av Oslo, samtidig som du har en skjermet beliggenhet i idylliske omgivelser. Utsikten fra stuen og balkongen er helt spesiell, og gir en ro du skal lete lenger etter så nære sentrum.Verdt å nevne:Balkong med gode solforholdFlott felles hage3 boderFellesvaskeri Søn. 28. mars 1430 - 1530 + Legg til i kalender Ta kontakt på 993 55 611 eller 970 64 800 for å avtale privatvisning. Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=211578282,211578282,92000,15504,4797504,2845,Leilighet,Andel,1,50,50,1952,F-oransje,NA,7068,55,1036163,2,7158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,VED ST. HANSHAUGEN PARK,"Herman Foss' gate 3B, 0171 Oslo",6200000,Lekker og gjennomgående 3-roms med attraktiv beliggenhet - Peis - Baderom 2020 - 1-stavs parkett - Generøs takhøyde,"Bredbåndstilknytning, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Turterreng"," Søn. 28. mars 13:00 - 13:15 + Legg til i kalender Søn. 28. mars 13:15 - 13:30 + Legg til i kalender Søn. 28. mars 13:30 - 13:45 + Legg til i kalender Søn. 28. mars 13:45 - 14:00 + Legg til i kalender Visningspåmelding Velkommen til denne lekre 3-roms selveierleiligheten beliggende like ved St.Hanshaugen park. Leiligheten har en sentral og attraktiv beliggenhet med kort vei til alt Oslo har å by på. Leiligheten har en gjennomgående planløsning og består av entré, stue, spisestue, kjøkken, flislagt baderom og soverom. Kvaliteter:- Herlig peis i stuen- Baderom fra 2020- Generøs takhøyde- Gjennomgående leilighet med to store stuer- Spesiallaget kjøkken fra møbelsnekker- Marokkanske gulvfliser på kjøkken- Pen 1-stavs parkett med hvit overflatebehandling- Generøs takhøyde og store vindusflater- Spisestuen kan benyttes som ekstra soverom- Rolig og barnevennlig nærområde- Godt med lagringsplass i tre boder- Kollektivtransport i umiddelbar nærhet Søn. 28. mars 13:00 - 13:15 + Legg til i kalender Søn. 28. mars 13:15 - 13:30 + Legg til i kalender Søn. 28. mars 13:30 - 13:45 + Legg til i kalender Søn. 28. mars 13:45 - 14:00 + Legg til i kalender Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=210884487,210884487,285699,171762,6657461,4976,Leilighet,Eier(Selveier),2,83,83,1925,F-oransje,3,996,91,1759876,3,125133,33502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Torshov,"Askergata 1, 0475 Oslo",4370000,"Romslig og innbydende 2-roms selveier med sentral beliggenhet, heisadkomst, innglasset sydvendt balkong og garasjeplass.","Balkong/Terrasse, Bredbåndstilknytning, Fellesvaskeri, Garasje/P-plass, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utvidelsesmuligheter, Vaktmester-/vektertjeneste, Lademulighet"," Man. 29. mars 16:00 - 17:00 + Legg til i kalender Visningspåmelding Romslig og innbydende 2-roms selveierleilighet i tredje etasje i bygg med heis. Beliggenheten er sentral og attraktiv, med umiddelbar nærhet til busstopp, tennisklubb og matbutikk, samt kort vei til parker, byliv og shopping. Leiligheten har en innglasset, sydvestvendt balkong på ca. 6 kvm, og det medfølger en stor p-plass i felles garasjeanlegg.Innh: Entre/gang med garderobe, bad/wc, kjøkken, spisestue - stue og romslig soverom. Fra stuen er det utgang til innglasset balkong med gode solforhold. Leiligheten ble oppgradert i 2011/2012 med nye garderober, kjøkken, gulv og malte flater. Mulighet for etablering av ekstra disponibelt rom, se alternativ planløsning. Leiligheten ligger skjermet, men fortsatt sentralt med alt Torshov og det storbyen ellers har å by på.Velkommen på visning Man. 29. mars 16:00 - 17:00 + Legg til i kalender Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=209290804,209290804,17490,111012,4498502,3784,Leilighet,Eier(Selveier),1,66,72,1974,E-rød,2,1418,78,1048890,3,38038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Strøken leilighet ved Sofienbergparken!,"Skjelderups gate 14B, 0559 Oslo",5900000,"Drømmeleilighet totalrenovert med ALT nytt innvendig i 2021! 3-roms m/ balkong, peis og nydelige detaljer. Ikke forkjøp.","Balkong/Terrasse, Peis/Ildsted, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning, Livsløpsstandard"," Søn. 28. mars 1400 - 1500 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Teo Hadzic v/PrivatMegleren Grünerløkka har gleden av å presentere en strøken og totalrenovert 3-roms med solide kvaliteter, hvor alt er nytt (unntatt vinduer og balkongdør). Dette er en leilighet av høy standard, hvor klassiske detaljer er godt bevart. Et perfekt kjøp for deg som ønsker det ypperste av bokvalitet.Leiligheten har en attraktiv beliggenhet i en klassisk bygård ved Sofienbergparken. Innvendig er det i 2021 gjort omfattende totalrenovering med alt av arbeid utført av fagfolk. Lekkert kjøkken fra Kvik med hvitevarer fra Bosch og AEG, nytt og moderne baderom med armatur fra Tapwell, og nydelige detaljer som stukkatur, rosett, teglsten og klassisk peis. Gjennomgående og god planløsning med to store soverom og herlig balkong med nytt trykkimpregnert furugulv.Velkommen til visning. Søn. 28. mars 1400 - 1500 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=211101158,211101158,62683,8060,5970743,4364,Leilighet,Andel,2,62,62,1899,F-oransje,3,464,75,1418832,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Rødtvet/Kalbakken,"Rødtvetveien 55, 0955 Oslo",3100000,Meget pen 2-roms | Bad fra 2016 | Innglasset balkong | Varmtvann/Fyring ink | Ingen forkjøpsrett | Lave omk!,"Alarm, Alpinanlegg, Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Golfbane, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Bademulighet, Turterreng, Lademulighet"," Søn. 28. mars 17:30 - 18:30 + Legg til i kalender Tir. 30. mars 18:30 - 19:30 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding Lokalmegleren Ramin Oddin har gleden av å presentere Rødtvetveien 55!Lys og trivelig 2-roms leilighet på Rødtvet med meget kort gangavstand til ""alt"". Boligen er påkostet i 2016 med nye gulv, malte vegger 2017 i moderne, tidsriktige farger og nytt, flislagt bad. Leiligheten har dessuten en flott, koselig stue med utgang til innglasset balkong på ca. 7 m², kjøkken med god benk/skapplass og mulighet for spiseplass, samt ett soverom.Her bor du godt med kort vei til butikker, marka og t-bane og buss (Nr. 31 går hele døgnet).Kombinasjonen av fredelige, grønne omgivelser i et samtidig sentralt bomiljø gjør Rødtvet til et populært sted å bo. * Ledig P-plass i brl.* Ca. 3 min fra T-banen* Fellesvaskeri* Varmtvann og fyring inkludert* Kort vei til marka.* Ingen forkjøp/dok. avgift! Søn. 28. mars 17:30 - 18:30 + Legg til i kalender Tir. 30. mars 18:30 - 19:30 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=212253670,212253670,44614,1164,3145778,3067,Leilighet,Andel,1,55,63,1961,F-mørkegrønn,2,18031,71,692383,2,960,361894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Torshov,"Oskar Braatens gate 18, 0474 Oslo",4390000,Sjarmerende 3r endeleilighet med meget gode lysforhold - Brannbalkong - Flotte originale tregulv - V.v og fyring inkl.,"Balkong/Terrasse, Parkett, Barnevennlig, Rolig, Moderne, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Søn. 28. mars 1500 - 1600 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til en sjarmerende 3-r hjørneleilighet med flotte lysforhold, beliggende på attraktive Torshov med nærhet til alle nødvendigheter. Boligen er fint plassert i 2.etg. Det første som møter deg i entréen er flotte originale tregulv, gjennomgående for boligen. Kjøkkenet ble i 2015 flyttet ut i stuen for en åpen og sosial løsning. Dette gjør leiligheten velegnet både for par og venner. Stuedelen har plass til både sofagruppe og spisebord. Fra stuen har du også tilgang til brannbalkong med kveldssol. Badet er oppgradert med nytt sanitærutstyr i 2015. Tilgang på flere fellesvaskerier i brl. To gode soverom vender ut mot rolig gate. Soverom to benyttes i dag som TV-stue. Ekstern lagring i to boder på tilsammen 8,5kvm. Varmtvann og fyring inkl i felleskost. Veldrevet brl. med god økonomi. Søn. 28. mars 1500 - 1600 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=212261318,212261318,61000,8060,4459060,3228,Leilighet,Andel,2,51,51,1939,G-mørkegrønn,3,14240,NA,961868,2,44137,NA,NA,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,,"Hollendergata 2B, 0191 Oslo",7190000,"Gamlebyen | Lekker & moderne 4-roms fra 2018 med utleiedel (8.500,-/mnd). Privat balkong, heis & felles takterrasse","Balkong/Terrasse, Parkett, Heis, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Søn. 28. mars 1300 - 1400 + Legg til i kalender Visningspåmelding Velkommen til Hollendergata 2 B! En lekker og moderne 4-roms leilighet med balkong og utleiedel. Leiligheten ligger i bydel Gamle Oslo, et sentrums nært og spennende område som er i stor utvikling. Bor du her har du store deler av det Oslo har å tilby rett utenfor døren - et populært område med kort vei til alt du trenger i hverdagen. HIGHLIGHTSBalkongHybelen er utleid for 8.500,- pr. mnd. Leieavtalen kan overføres til ny eierTV og internett inkVannbårenvarme i gulvSolskjerming på sørsiden av leiligheten og hybelNytt og moderne boligsameie, ferdigstilt i 2018Dyrehold er tillattBakgård med hyggelige fellearealer og stor felles takterrasseSentraltMeget godt kollektivt tilbud i umiddelbar nærhetVelkommen til visning! Søn. 28. mars 1300 - 1400 + Legg til i kalender Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=210852860,210852860,NA,188770,7378770,4553,Leilighet,Eier(Selveier),2,90,91,2018,C-mørkegrønn,4,1837,NA,1564890,4,7045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Ensjø Torg / Ensjø,"Ensjøveien 21L, 0655 Oslo",6390000,"Rålekker 3-roms hjørneleilighet i 11. etg med fantastisk utsikt | Balkong på 9,5 m² | Felles takterrasse | Kort til alt!","Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Livsløpsstandard, Lademulighet"," Søn. 28. mars 1300 - 1400 + Legg til i kalender Man. 29. mars 1730 - 1830 + Legg til i kalender Visningspåmelding Velkommen til Ensjøveien 21 L - En lekker og moderne 3-roms selveier på populære Ensjø Torg med alt av servicetilbud i umiddelbar nærhet.Boligen ligger i byggets 11. etasje med heisadkomst til alle plan. Fra stuen er det utgang til romslig balkong på 9,5 m² med fantastisk utsikt! Leiligheten er en hjørneleilighet med store vindusflater i flere retnigner som slipper rikelig med naturlig lys inn og skaper en unik atmosfære i boligen.Kort fortalt:Moderne 3-roms endeleilighet fra 201911. etasje med 180 graders utsikt Romslig balkong på 9,5 m²Vannbåren gulvvarmeBalansert ventilasjon med varmegjenvinningFelles takterrasse med sittegrupper2 heiser i byggetFelles sykkelbodKjellerbod på 5,8 m²Sentral beliggenhet med nærhet til ""alt""Kort vei til T-bane, buss og flybussVelkommen til visning! Søn. 28. mars 1300 - 1400 + Legg til i kalender Man. 29. mars 1730 - 1830 + Legg til i kalender Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=212258353,212258353,NA,168770,6558770,2461,Leilighet,Eier(Selveier),2,70,70,2019,B-mørkegrønn,3,4702,77,1407198,11,4171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
