new_building,location,address,price,title,facilities,description_text,date_changed,ad_url,id,num,omkostninger,totalpris,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,byggear,energimerking,tomteareal,bruttoareal,boligselgerforsikring,formuesverdi,fellesgjeld,felleskost_mnd,etasje,rom,fellesformue,sikringsordning,festeavgift,tomt,kommunale_avg,grunnflate,renovert_ar,festear,utleiedel
FALSE,Ulvøya,"Pans Vei 9B, 0139 Oslo",8700000,"Lys, pen halvpart av tomannsbolig, med garasje, anneks, skjermet hage og stor, solrik terrasse. Idylliske omgivelser.","Balkong/Terrasse, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Fiskemulighet, Bademulighet, Turterreng, Offentlig, vann/kloakk, Bredbåndstilknytning, Lademulighet"," Søn. 18. april 1230 - 1330 + Legg til i kalender Man. 19. april 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Pans vei 9B er en meget attraktiv halvpart i første etasje av en horisontaldelt tomannsbolig. Omgivelsene er idylliske, med vakker natur og sjø på alle kanter. Det er umiddelbar nærhet til Sydstranda og kun fem minutter med bil til sentrum.Boligen disponerer en naturlig del av hagen, som ligger lunt og skjermet til. Fantastiske solforhold kan nytes på en stor terrasse med sjøgløtt, og det er et innredet anneks i hagen. Det er parkering i en garasje med elbillader og på en asfaltert gårdsplass.Standarden er god, og alle vegger er malt i senere tid. Stuen er lekker med peisovn, mens kjøkkenet har mye skapplass og integrerte hvitevarer. Videre er det et bad med gulvvarme, et vaskerom med toalett, en stue/soverom og tre koselige soverom. I boligen er det smarte løsninger med store skap. Søn. 18. april 1230 - 1330 + Legg til i kalender Man. 19. april 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=209218591,209218591,NA,233170,8933170,Tomannsbolig,Eier(Selveier),4,90,90,1957,C-oransje,985,98,Ja,1453007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,BISLETT / ADAMSTUEN,"Thereses gate 18, 0452 Oslo",2900000,Lys 1-roms selveier m/ heis i populært område. Felles takterrasse med utsikt. Moderniseringsbehov. & v.vann inkl.,"Balkong/Terrasse, Parkett, Heis, Rolig, Kabel-TV, Sentralt, Offentlig, vann/kloakk, Fellesvaskeri, Bredbåndstilknytning"," Tor. 15. april 1630 - 1730 + Legg til i kalender Søn. 18. april 1200 - 1300 + Legg til i kalender Vi ønsker trygge visninger og ber deg derfor om å melde deg på visning. Dette gjøres enkelt ved å klikke på link i denne annonsen, eller ved direkte kontakt med megler. Velkommen på visning! Dersom oppsatte tidspunkt ikke passer, ta kontakt med megler for å avtale tid for privatvisning. Visningspåmelding Velkommen til en hyggelig selveierleilighet i Thereses gate 18, sentralt og etterspurt på Adamstuen/Bislett. Dette er en lys selveier med effektiv planløsning og moderniseringsbehov. Leiligheten ligger i byggets 4. etasje med heis. Vestvendt plassering og store vinduslfater gir godt med dagslys. Videre finnes en felles takterrasse med supre solforhold, vid utsikt over byen, sittegrupper og enkel heisadkomst. Høydepunkter: Effektiv planløsningVestvendt med god oversikt over områdetGode lysforholdMatbutikk i 1.etasjeBod på loftetKollektivtransport rett utenforUtleie tillattYpperlig førstegangskjøpFelles takterrasseV.vann & fyring inkl. Tor. 15. april 1630 - 1730 + Legg til i kalender Søn. 18. april 1200 - 1300 + Legg til i kalender Vi ønsker trygge visninger og ber deg derfor om å melde deg på visning. Dette gjøres enkelt ved å klikke på link i denne annonsen, eller ved direkte kontakt med megler. Velkommen på visning! Dersom oppsatte tidspunkt ikke passer, ta kontakt med megler for å avtale tid for privatvisning. Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214647812,214647812,NA,84912,3020821,Leilighet,Eier(Selveier),NA,23,23,1936,G-rød,234,26,NA,590901,35909,2643,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Vestre Haugen,"Vestre Haugen 24, 1054 Oslo",3000000,Pen og innholdsrik 3-roms med innglasset balkong og garasjeplass - Varmtvann og TV/internett inkl - Lave omkostninger.,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Garasje/P-plass, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," Søn. 18. april 12:00 - 13:00 + Legg til i kalender Man. 19. april 19:00 - 20:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding DNB Eiendom ved Robin Rastad Lauritzen har gleden av å ønske velkommen til Vestre Haugen 24!Leiligheten holder en gjennomgående god standard med en romslig entré, innvendig bod, 2 soverom, baderom med opplegg for vaskemaskin, stue med åpen kjøkkenløsning og utgang til en innglasset balkong. Her bor du meget sentralt til midt mellom Furuset og Høybråten med kort vei til skoler, barnehager, offentlig kommunikasjon og et rikt utvalg av fasiliteter og servicetilbud. Du kommer til å stortrives i ditt nye nabolag!Kort fortalt: - Innglasset balkong- Garasjeplass - God planløsning - Varmtvann og TV/internett inkl - Lave kjøpsomkostninger - Godt kollektivtilbud Robin Rastad Lauritzen Eiendomsmegler Mobil 478 10 994 Send melding Søn. 18. april 12:00 - 13:00 + Legg til i kalender Man. 19. april 19:00 - 20:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214326437,214326437,NA,8626,3307626,Leilighet,Andel,2,58,64,1976,D-rød,10699,69,NA,730821,299000,3997,3,3,26014,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,,"AMMERUDHELLINGA 35, 0959 Oslo",3400000,"Lys, pen og attraktiv 4-roms andelsleilighet - Innglasset balkong på ca 11 kvm med flott utsikt. Flytt rett inn!","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Heis, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Viktig informasjon til deg som ønsker å komme på visning: Vi minner på at alle våre visninger har påmelding. Registrer deg i god tid før visning, med eventuelt følge via visningspåmelding knappen på våre annonser eller ta direkte kontakt med megler. Søn. 18. april 14:00 - 15:00 + Legg til i kalender Man. 19. april 17:00 - 18:00 + Legg til i kalender Ammerudhellinga 35 er en lys, flott og moderne 4-romsleilighet beliggende i byggets 12. etasje og innehar en flott og sydvestvendt, innglasset balkong en kan nyte sol og flott utsikt. Dette er en einnflytningsklar leilighet som er perfekt for en barnefamilie. Med nærhet til marka, gangavstand til badevann, kort avstand til kjøpesenter, buss og T-bane har boligen en sentral beliggenhet på Ammerud. Kort fortalt:- Gjennomgående god standard- Separat vaskerom i leiligheten- Varmtvann og fyring inkludert i husleien- Meget barnevennlig- Barnehager og skole i nærheten- Nærhet til marka- 1 kjellerbod- Umiddelbar nærhet til buss- Automatsikringer- Tilgang til gratis fellesvaskeri- Mulighet for leie av parkering og kjøp av garasjeplass- Lave kjøpsomkostninger og ingen dokumentavgift Viktig informasjon til deg som ønsker å komme på visning: Vi minner på at alle våre visninger har påmelding. Registrer deg i god tid før visning, med eventuelt følge via visningspåmelding knappen på våre annonser eller ta direkte kontakt med megler. Søn. 18. april 14:00 - 15:00 + Legg til i kalender Man. 19. april 17:00 - 18:00 + Legg til i kalender",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214264143,214264143,NA,8654,3678654,Leilighet,Andel,3,84,99,1965,E-lysegrønn,10443,NA,Ja,0,270000,5971,12,4,42726,Ja,NA,NA,NA,NA,NA,NA,NA
FALSE,NORDSTRAND / NORDSETER,"ÅSSIDEN TERRASSE 10, 1160 Oslo",4200000,Lekker 2-roms leilighet på 61 kvm | Vestvendt terrasse (39m2) | Åpent kjøkken | Trappefritt via terrasse | Walk-in,"Balkong/Terrasse, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Bademulighet, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 18. april 1430 - 1530 + Legg til i kalender Man. 19. april 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Lekker 2-roms leilighet med super beliggenhet på Nordstrand/NordseterFantastisk vestvendt terrasse på 39 kvm med svært gode solforholdTrappefri adkomst via terrasse og siden av blokkenKan bruke terrasse som inngang (rekkehusfølelse)Meget god intern beliggenhet i populært borettslagStor felles parkeringsplass for borettslaget med god kapasitetRomslig stueÅpent kjøkken med integrerte hvitevarerDelikat bad med opplegg til full størrelse vaskemaskinWalk-in closetDownlightsKjellerbod og terrassebod, sykkelbod og selskapslokaleDyrehold tillattVarmtvann og kabel-tv/internett inkl. i fellesutgifteneFå minutter gange til trikk, buss og T-baneKort gangavstand til Lambertsenter senter, Sæter og HoltetKort vei til flere badestrender, turmulighter på Ekeberg og Østmarka Søn. 18. april 1430 - 1530 + Legg til i kalender Man. 19. april 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214638627,214638627,NA,15554,4427554,Leilighet,Andel,1,61,61,1981,F-rød,26023,67,Ja,900085,212000,3439,NA,2,11979,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Bøler,"Bølerbakken 6, 0690 Oslo",3500000,Lys og tiltalende 3-r selveier hjørneleilighet. Kort til T-bane og senter. Bad fra 2014 og solrik balkong. Heis.,"Balkong/Terrasse, Barnevennlig, Garasje/P-plass, Heis, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt, Utsikt, Turterreng, Lademulighet"," Søn. 18. april 13:30 - 14:30 + Legg til i kalender Tir. 20. april 16:30 - 17:30 + Legg til i kalender Visningspåmelding Pen 3-roms hjørneleilighet beliggende usjenert og fritt på populære Bøler. Leiligheten holder en god standard med moderne overflater, pene gulv, nyere kjøkken og bad. Solrik balkong på 3,5 kvm. Kabel-TV/internett, Varmtvann og fyring er inkludert i felleskostnadene. Boligen disponerer 2 boder. HeisI Bølerbakken 6 vil du bo i fredelige omgivelser tett på vakre Østmarka med uendelige rekreasjonsmuligheter. Garasjeplass i eget garasjelag kan kjøpes separat om ønskelig eller leie av p-plass er mulig. Kun 3 minutters gange til Bøler T-banestasjon med opptil 8 avganger i timen. Leiligheten ligger i et veletablert og barnevennlig område på Bøler. Gangavstand til flere barnehager og skoler. Kort til Bøler senter med Coop Mega, vinmonopol og det meste du måtte trenge av servicetilbud. Daniel Nielsen Eiendomsmegler Mobil 913 92 733 Send melding Mikael Lilletvedt Eiendomsmegler Mobil 951 82 399 Send melding Søn. 18. april 13:30 - 14:30 + Legg til i kalender Tir. 20. april 16:30 - 17:30 + Legg til i kalender Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214578086,214578086,NA,95392,3857644,Leilighet,Eier(Selveier),2,66,66,1960,G-mørkegrønn,12786,72,NA,924569,262252,5098,7,3,32698,NA,150777,NA,NA,NA,NA,NA,NA
FALSE,,"Hansteens gate 12B, 0253 Oslo",7490000,Romslig og klassisk 3-roms på Vika - Balkong - Peis - Rosetter og stukkatur - Parkering etter liste - Rolig beliggenhet,"Balkong/Terrasse, Peis/Ildsted, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Offentlig, vann/kloakk, Bredbåndstilknytning, Lademulighet"," Søndag 18.04 fra klokken 13:00 og mandag 19.04 fra klokken 1700. Grunnet smittevern MÅ interessenter kontakte megler for å få tildelt oppmøtetidspunkt. Tlf: 95864003 / Mail: sh@ek.no Advokat Ek har gleden av å presentere 84 kvm med lekkert interiør i klassisk innpakning på beste Vika. Fasiliteter som sydvestvendt balkong, moderne klebersteinsovn, flott kjøkken (2011), romslig bad (2011), samt klassiske detaljer som originale tregulv, rosetter, stukkatur, doble fløydører og takhøyde på 3,1 meter. Leiligheten fremstår som innflytningsklar med moderne overflater og delikate farger.Sameiet består av 17 seksjoner og fremstår som veldrevet med et aktivt styre og OBOS Eiendomsforvaltning som forretningsfører. Sameiet har 9 parkeringsplasser som leies ut etter venteliste.Her har du muligheten til å sikre deg en flott leilighet med mange gode kvaliteter.Vi ønsker trygge visninger med lav smitterisiko. Du MÅ derfor ta kontakt med megler for å få tildelt oppmøtetidspunkt! Søndag 18.04 fra klokken 13:00 og mandag 19.04 fra klokken 1700. Grunnet smittevern MÅ interessenter kontakte megler for å få tildelt oppmøtetidspunkt. Tlf: 95864003 / Mail: sh@ek.no",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214640396,214640396,NA,191020,7777764,Leilighet,Eier(Selveier),2,84,84,1880,NA,865,90,NA,1706453,96744,3712,4,NA,19611,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Karihaugen/Ellingsrud,"Ludvig Karstens vei 4, 1064 Oslo",3200000,Delikat 2(3)-roms hjørneleilighet beliggende i 13 etasje med balkong|Kjøkken fra 2020|Garasje og heis|TV og int inkl!,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Heis, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," Søn. 18. april 13:30 - 14:30 + Legg til i kalender Tir. 20. april 17:00 - 18:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding Er du på utkikk etter en moderne og innflyttingsklar leilighet? Ønsker du å bo i et rolig område, men med kort vei til marka og byliv? Da ønsker jeg deg velkommen til Ludvig Karstens vei 4!Eiendommens særpreg:- Delikat og romslig 2(3)-roms beliggende i toppetasjen (13.etasje) med heisadkomst- Østvendt balkong på 9,5 m² med gode solforhold- Hjørneleilighet- Smart planløsning med store vindusflater som slipper inn rikelig med naturlig lys- Garasjeplass i felles garasjeanlegg- TV/Bredbånd inkludert i felleskostnadene- Tilgang til fellesvaskeri- Nært barneskole, ungdomsskole og barnehage.- Flotte turområder i nærmiljøet- Godt kollektivtilbud med både T-bane, buss og tog- Ny Rema1000 butikk 200 m unna Robin Rastad Lauritzen Eiendomsmegler Mobil 478 10 994 Send melding Søn. 18. april 13:30 - 14:30 + Legg til i kalender Tir. 20. april 17:00 - 18:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214041576,214041576,NA,8626,3423626,Leilighet,Andel,1,65,80,1972,D-rød,35937,88,NA,805688,215000,3782,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,ROSENHOFF,"Trondheimsveien 172, 0568 Oslo",3750000,"Lys og hyggelig 2-roms høyt og fritt i 4. etg. - Meget solrik, sydvendt  balkong - Ingen dok. avg. el. forkjøpsrett","Balkong/Terrasse, Ingen, gjenboere, Kabel-TV, Sentralt, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Tor. 15. april 1700 - 1800 + Legg til i kalender Søn. 18. april 1500 - 1600 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Romslig 2-roms leilighet i byggets 4. etasje. Supersentral beliggenhet på Rosenhoff, med umiddelbar nærhet til servicetilbud og kollektivtrafikk. Området byr på et godt utvalg av forretninger, kaféer og restauranter. Gangavstand til både Sinsen, Carl Berner, Grünerløkka og Torshov som også har et rikt servicetilbud. En kort spasertur fra boligen ligger Torshovdalen med sine store grønne områder, et flott område med mange rekreasjonsmuligheter.Leiligheten har praktisk planløsning med separat kjøkken med opplegg til vaskemaskin, stue med utgang til balkong på ca. 3,3 kvm og soverom med stort omkledningsrom. Romslig bad og godt med oppbevaringsmuligheter. Mulighet for parkering i sameiets gårdsplass, samt fellesvaskeri.Velkommen! Tor. 15. april 1700 - 1800 + Legg til i kalender Søn. 18. april 1500 - 1600 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=213571752,213571752,NA,5260,3998218,Leilighet,Andel,1,51,51,1936,D-gul,1878,57,Ja,869128,242958,4581,4,NA,81862,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Frogner,"Magnus Bergs gate 3A, 0266 Oslo",16200000,Stilig og moderne 5-roms hjørneleilighet - Totalrenovert 2015 - Vestvendt balkong - Gården er betydelig oppgradert 2015,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Kabel-TV, Parkett, Peis/Ildsted, Rolig, Sentralt, Utsikt, Turterreng"," Søn. 18. april 15:30 - 16:30 + Legg til i kalender Man. 19. april 16:30 - 17:30 + Legg til i kalender Visningspåmelding Denne hjørneleiligheten er beliggende i byggets fjerde etasje, med store vindusflater, god takhøyde og solrik terrasse. Boligen ble totalrenovert i 2014/2015, og holder en gjennomgående svært høy standard. Det er dokumentasjon på alt arbeid som er gjort i leiligheten Rosetter, stukkaturer, en-stavs eikeparkett, varme i alle gulv og smartstyring for varme og lys er bare noen av kvalitetene det er verdt å nevne. Det er tre gode soverom i leiligheten, to smakfulle bad, stort kjøkken med Miele hvitevarer, to stuer hvorav den ene har god plass til spisebord. Terrassen vender mot vest med sol fra ca. kl. 13 til sent på kvelden sommerstid.Varme i alle gulv To store boderUtredning for heis mot bakgårdTak og fasade 2014Velkommen! Søn. 18. april 15:30 - 16:30 + Legg til i kalender Man. 19. april 16:30 - 17:30 + Legg til i kalender Visningspåmelding",2021-04-11,https://www.finn.no/realestate/homes/ad.html?finnkode=214307843,214307843,NA,416962,16710350,Leilighet,Eier(Selveier),3,146,146,1905,G-oransje,976,163,NA,2559479,93388,6579,4,5,27104,NA,NA,NA,NA,NA,NA,NA,NA
