new_building,location,address,price,title,facilities,description_text,date_changed,ad_url,id,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,rom,tomteareal,festeavgift,bruttoareal,fellesformue,formuesverdi,fellesgjeld,boligselgerforsikring,renovert_ar,num,kommunale_avg,tomt,grunnflate,sikringsordning,utleiedel,festear
FALSE,Marienlyst,"Suhms gate 20D, 0362 Oslo",9200000,"Totaloppusset 4-roms med attraktiv og barnevennlig beliggenhet - Heis, peis og balkong - Fyring og v.vann inkl.","Balkong/Terrasse, Peis/Ildsted, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 25. april 1500 - 1600 + Legg til i kalender Man. 26. april 1830 - 1930 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til denne lekre og innholdsrike 4-roms selveierleiligheten med en meget attraktiv og barnevennlig beliggenhet på Marienlyst. Leiligheten har kort gangavstand til Marienlystparken, skoler, barnehager, offentlig kommunikasjon, dagligvare og andre bymessige fasiliteter.Boligen ligger i byggets 2. etasje og har en god planløsning med gode størrelser på alle rom. Hele leiligheten er renovert i 2021, så her kan man flytte rett inn! Dette er en stilren og gjennomgående leilighet med en god planløsning!Kort fortalt: Lekker 4-roms selveierBarnevennlig og attraktiv beliggenhetNyoppusset i 2021God planløsningSolrik balkong på 8 kvadratmeterFyring og varmtvann inkl. i felleskostnadenePeisVeldrevet sameie med god økonomi og vedlikeholdshistorikk Søn. 25. april 1500 - 1600 + Legg til i kalender Man. 26. april 1830 - 1930 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215438543,215438543,241542,9441542,5484,Leilighet,Eier(Selveier),3,105,105,2,1939,G-lysegrønn,4,6384,363000,115,52405,1999731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Muligens Bislett's flotteste leilighet!,"Colletts gate 9B, 0169 Oslo",14500000,"Lys, rålekker 5-roms topp- og hjørneleilighet med to balkonger. Oppusset i 2021 med påkostede løsninger. Utleiedel.","Balkong/Terrasse, Peis/Ildsted, Parkett, Ingen, gjenboere, Rolig, Kabel-TV, Moderne, Sentralt, Utsikt, Livsløpsstandard"," Søn. 25. april 1400 - 1500 + Legg til i kalender Man. 26. april 1730 - 1830 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Velkommen til Colletts gate 9B - En rålekker, påkostet 5-roms leilighet med to balkonger og utleiedel. Leiligheten holder en meget høy standard og er betydelig oppgradert i 2021. Her vil du få en kombinasjon av det klassiske som god takhøyde, dype karmer, stukkatur og rosetter samt moderne standard som et flott kvik-kjøkken med integrerte hvitevarer, god planløsning og spilevegg.Her bor du i en rolig og attraktiv sidegate på Bislett, like ved St. Hanshaugen. Dette er en bolig som bør oppleves!Verdt å viteBetydelig oppgradert i 2021Høy standard med stilren innredningRundovn i stueUtleiedel (stipulert inntekt ca 11.000,-/mnd)Samtlige rom har gulvvarmeLydisolert gulvKvik Senti kjøkken med ekslusiv Calacatta Goldlight benkeplateLite trafikkstøyNærhet til ""alt""Flytt rett inn Søn. 25. april 1400 - 1500 + Legg til i kalender Man. 26. april 1730 - 1830 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215511809,215511809,376042,14956361,5172,Leilighet,Eier(Selveier),4,156,NA,5,1905,G-oransje,6,683,NA,170,12000,2639599,80319,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,PILESTREDET PARK,"Pilestredet Park 12B, 0176 Oslo",3200000,Lys og arealeffektiv 3-roms med heisadkomst. To felles takterrasser. IN-ordning. Alt ink. i felleskost. Ingen dok. avg.,"Takterrasse, Bredbåndstilknytning, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt"," Søn. 25. april 13:00 - 14:00 + Legg til i kalender Man. 26. april 17:00 - 18:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger. For å hindre spredning av koronaviruset gjennomføres visningen individuelt. Meld deg enkelt på visning via lenken Visningspåmelding eller kontakt megler på tlf. 981 56 786 eller e-post for å avtale tidspunkt. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding Velkommen til denne moderne 3-roms hjørneleiligheten, beliggende usjenert til i 5. etasje (m/ heis), i et sentralt og populært område. Modernisert bygg fra 2008 med god standard. Meget arealeffektiv planløsning, god takhøyde samt store vindusflater sikrer mye naturlig lysinnslipp. Flytt rett inn!- Attraktiv andelsleilighet i Pilestredet Park som bør oppleves.- God utsikt og uten innsyn- Nymalt i perioden 2017 til 2021- To solrike takterrasser med fantastisk utsikt og felles kjøkken og toalett - Lagringsbod på 6 kvm - Felles sykkelbod og smørebod i kjeller - Mulighet for kjøp/leie av p-plass- Lave felleskostnader. Ved innfrielse av fellesgjeld blir FK på 3.746,-- Lave omkostninger.- Kort vei til urbant byliv, parker, butikker, serveringssteder, treningsentre, studiesteder m.m. Håkon Leknes Eiendomsmegler Mobil 981 56 786 Send melding Søn. 25. april 13:00 - 14:00 + Legg til i kalender Man. 26. april 17:00 - 18:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger. For å hindre spredning av koronaviruset gjennomføres visningen individuelt. Meld deg enkelt på visning via lenken Visningspåmelding eller kontakt megler på tlf. 981 56 786 eller e-post for å avtale tidspunkt. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215091093,215091093,1132,4587132,7719,Leilighet,Andel,2,42,42,5,1968,B-mørkegrønn,3,3575,NA,46,10708,924091,1386000,NA,2008,NA,NA,NA,NA,NA,NA,NA
FALSE,# STORO / GREFSEN STASJONSBY,"Hans Nordahls gate 92, 0484 Oslo",5990000,"Lys og moderne 3-R selveier fra 2014 I Høyt, fritt og solrikt med nydelig utsikt I Vestvendt balkong på 9,3m² I Heis","Balkong/Terrasse, Parkett, Heis, Barnevennlig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 25. april 1530 - 1630 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding En lys og moderne 3-roms selveierleilighet med god standard fra 2014. Leiligheten ligger i byggets 6. etasje (heisadkomst), og har en gjennomgående og god planløsning. Fra stuen har du utgang til en stor og solrik vestvendt balkong med nydelig utsikt over byen og mot Holmenkollen. Gjennomgående god og moderne standard med parkett på gulv og glatte lysmalte overflater. Her kan du flytte rett inn!Attraktiv beliggenhet på Grefsen Stasjonsby med nærhet til Storo, Grefsen, Nydalen, Torshov og Sagene, samt store friområder og Akerselva.Høyt og fritt med nydelig utsikt over byenSolrik vestvendt balkong på ca. 9,3m²Moderne kjøkken med integrerte hvitevarer fra BoschMulighet for kjøp av garasjeModerne flislagt bad fra 2014Svært lave felleskost. inkl. á-konto oppvarming/ varmtvann og kabel-TVHeis Søn. 25. april 1530 - 1630 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=211892132,211892132,158769,6148769,2748,Leilighet,Eier(Selveier),2,67,67,6,2014,C-mørkegrønn,3,1462,NA,75,18790,1338584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,HOMANSBYEN,"Welhavens gate 1G, 0166 Oslo",3750000,Attraktiv selveierleilighet beliggende skjermet til i indre gård. God takhøyde. Svært lave felleskostnader.,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt"," Tor. 22. april 17:00 - 18:00 + Legg til i kalender Søn. 25. april 16:00 - 17:00 + Legg til i kalender For å hindre spredning av koronaviruset gjennomføres i mindre grupper / individuelt. Kontakt telefon 98156786 eller på mail: hakon.leknes@dnbeiendom.no eller bruk påmeldingsknappen her inne for å booke tid innenfor tidsintervallet som er annonsert. Kontakt megler hvis man pga. smittefare ikke har mulighet til å gjennomføre fysisk visning, så kan eventuelt videovisning gjennomføres. I DNB Eiendom ønsker vi trygge visninger. Som et av tiltakene for å redusere spredning av koronaviruset, har vi valgt å ikke håndhilse på visninger og befaringer. Vi håper på forståelse for valget. Visningspåmelding Velkommen til Welhavens gate 1 G - en attraktiv selveierleilighet med sentral og populær beliggenhet nær Bogstadveien. Leiligheten har en fin standard og ligger i skjermet til i byggets 3. etasje i indre gård. Gården ble renovert i 2005. - Attraktiv selveier i bygård som ble renovert i 2005.- Stille og rolig beliggende i indre gård.- Bygård oppgradert med ny fasade 2014 og nytt tak 2016- Balkong med plass til sittegruppe.- Åpen og sosial stue/kjøkkenløsning.- Svært lave felleskostnader.- Store vinduer og god takhøyde.- Romslig baderom med varmekabler.- Tidløst kjøkken med alt man trenger- Alkove med hemsløsning- Et steinkast unna OsloMET- Gangavstand til ""alt"" av bymessige fasiliteter- Godt med offentlig kommunikasjon i nærområdetVelkommen på visning! Håkon Leknes Eiendomsmegler Mobil 981 56 786 Send melding Tor. 22. april 17:00 - 18:00 + Legg til i kalender Søn. 25. april 16:00 - 17:00 + Legg til i kalender For å hindre spredning av koronaviruset gjennomføres i mindre grupper / individuelt. Kontakt telefon 98156786 eller på mail: hakon.leknes@dnbeiendom.no eller bruk påmeldingsknappen her inne for å booke tid innenfor tidsintervallet som er annonsert. Kontakt megler hvis man pga. smittefare ikke har mulighet til å gjennomføre fysisk visning, så kan eventuelt videovisning gjennomføres. I DNB Eiendom ønsker vi trygge visninger. Som et av tiltakene for å redusere spredning av koronaviruset, har vi valgt å ikke håndhilse på visninger og befaringer. Vi håper på forståelse for valget. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215147356,215147356,95092,3845092,1559,Leilighet,Eier(Selveier),1,35,35,3,1875,F-rød,1,507,NA,39,4430,890753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,SKØYEN/SJØLYST,"Messepromenaden 6, 0279 Oslo",4800000,"Nydelig 2-roms selveier m/balkong (5,5 kvm) | Heis | Perfekt beliggenhet | Felles takterrasse m/god utsikt & solforhold","Balkong/Terrasse, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Man. 26. april 1600 - 1645 + Legg til i kalender Tir. 27. april 1730 - 1815 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Helena Holthe har gleden av å presentere en innbydende 2-roms selveier i moderne bygg fra 2005!Kort oppsummert er dette et moderne og stilfullt hjem. Materialvalg av god kvalitet er et gjennomgående tema for boligen, og passer perfekt for deg som ønsker å kunne flytte rett inn. Lave felleskostnader som bla. inkluderer fyring, varmtvann og kabel-tv. Leiligheten ligger luftig til i 3. etasje med heisadkomst. Her har du store vinduer og en deilig balkong på hele 5,5 m². Smart planløsning med romslig inngangsparti, en større stue og en åpen, men samtidig skjermet kjøkkenløsning. Forøvrig romslig soverom og bad.Foruten en egen balkong, er det en felles takterrasse hvor du kommer opp i høyden med god utsikt. Det er muligheter for å leie eller kjøpe parkeringsplass i underetasjen ved ledig. Man. 26. april 1600 - 1645 + Legg til i kalender Tir. 27. april 1730 - 1815 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215510435,215510435,131542,4931542,2464,Leilighet,Eier(Selveier),1,46,46,3,2006,G-rød,2,1717,NA,51,10721,1094134,NA,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,IDYLLISKE FREDENSBORG,"Deichmans gate 15B, 0178 Oslo",4290000,"Unik & spennende selveier over to plan - Nytt i 2012 - Stor stue med flere soner - Messanin - Felles, solrik takterrasse","Balkong/Terrasse, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 25. april 1200 - 1245 + Legg til i kalender Tir. 27. april 1700 - 1745 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Velkommen til Deichmans gate 15B!Dette er leiligheten for dere som er på jakt etter et hjem med mye personlighet og karakter. Leiligheten er preget av store oppholdsrom og en særskilt god atmosfære! Utstrakt bruk av smarte løsninger gir leiligheten ""det lille ekstra"". Her bor dere med en attraktiv og sentral beliggenhet i en rolig, prisbelønt miljøgate ved Oslos mest yrende kaféliv, og bydelens mange grønne lunger - samtidig som dere får et rikt kollektivtilbud rett utenfor døren. Dere vil garantert trives!Tilbaketrukket i indre gårdsromStor stue med flere soner og messaninFlott, sosialt kjøkken fra HTH med integrerte hvitevarer og plass til stort spisebordDelikat baderom med gulvvarme og oppl. for vaskesøyleDisponerer kjellerbodSolrik, felles takterrasse på 45 m² med grill og møblement Søn. 25. april 1200 - 1245 + Legg til i kalender Tir. 27. april 1700 - 1745 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215507259,215507259,118792,4409242,3988,Leilighet,Eier(Selveier),1,56,56,1,2012,D-rød,2,333,NA,69,39466,1263442,450,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Sandaker,"Åsengata 8C, 0480 Oslo",4800000,Bo høyt og fritt med herlige lys og solforhold og stor balkong -2-roms med lekker standard fra 2019 - Garasje - Heis,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Garasje/P-plass, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Parkett, Rolig, Sentralt, Lademulighet"," Søn. 25. april 12:30 - 13:15 + Legg til i kalender Sammen skal vi sikre trygge visninger og ivareta smittevern. Derfor inviterer vi nå kun til individuelle tidspunkter for oppmøte på visningene. Ta kontakt med megler i god tid før visning for avtale om tidspunkt, så finner vi en tid som passer. Visningspåmelding Velkommen til en lekker og stilsikker leilighet med høy standard og flott særpreg. Boligen gjennomgikk en omfattende oppussing av alle rom i perioden 2018-2019, og holder en høy standard og er kledd i nydelige farger som gir et moderne, men samtidig tidløst uttrykk. Her bor du høyt og fritt med herlige lys og solforhold, helt tilbaketrukket i usjenerte omgivelser, men med gode kollektivforbindelser til alle retninger av byen like utenfor døren.- Varmtvann, tv og internett inkl. i fellesutgiftene - Medfølgende garasjeplass med el-bil lading- Omfattende pusset opp 2018-2019 med nytt bad, nytt kjøkken og oppussing av alle overflater- Usjenert beliggenhet med flott utsikt over byen - Bo høyt og fritt i 7.etg. - Alt vurdert til tilstandsgrad TG1 Søn. 25. april 12:30 - 13:15 + Legg til i kalender Sammen skal vi sikre trygge visninger og ivareta smittevern. Derfor inviterer vi nå kun til individuelle tidspunkter for oppmøte på visningene. Ta kontakt med megler i god tid før visning for avtale om tidspunkt, så finner vi en tid som passer. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=211479851,211479851,8626,5045626,3738,Leilighet,Andel,1,52,52,7,1975,E-rød,2,13625,NA,58,30147,990294,237000,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Oppsal,"Oppsaltoppen 21 d, 0687 Oslo",3550000,"Pen og romslig 2-roms toppleilighet med sydvestvendt balkong, god planløsning og kort vei til marka.","Balkong/Terrasse, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Sentralt, Turterreng, Utsikt, Bredbåndstilknytning"," Tor. 22. april 1800 - 1900 + Legg til i kalender Søn. 25. april 1200 - 1300 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Oppsaltoppen 21 D er en pen 2-roms leilighet i fjerde etasje (toppetasjen). Leiligheten har en sydvestvendt balkong med gode solforhold, og plasseringen i toppetasjen gjør at det oppleves usjenert og stille - både inne og ute. Det er utført løpende vedlikehold og oppgraderinger. Av arbeid utført i senere år kan nevnes bad fra 2009, kjøkken fra 2011, vinduer fra 2020 og diverse overflatebehandlinger med mer. Leiligheten fremstår som velholdt og moderne. Entreen har dørtelefon og plassbygd garderobeskap, og det er også skyvedørsgarderobe på soverommet. I tillegg har leiligheten både loftsbod og kjellerbod. Kjøkkenet ligger i eget rom og har stilfull innredning og en koselig spiseplass. Stuen er romslig og tiltalende, og badet er flislagt med plass for vaskemaskin. Tor. 22. april 1800 - 1900 + Legg til i kalender Søn. 25. april 1200 - 1300 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215506015,215506015,15554,3619992,3080,Leilighet,Andel,1,53,53,4,1958,F-mørkegrønn,NA,19664,NA,59,13469,774555,54438,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,# SAGENE,"Sandefjordgata 3E, 0464 Oslo",4350000,"Lys og tiltalende 2-roms hjørneleilighet | solrik brannbalkong | vinduer fra 2014 | kjøkken og bad 07 | ""alt"" inkludert","Balkong/Terrasse, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Man. 26. april 1700 - 1800 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Vi har for salg en tiltalende 2-R med populær beliggenhet på Sagene.Hjørneleiligheten i 4. etg har gode lysforhold og den interne beliggenheten i gården oppleves som en av de bedre.Planløsningen er effektiv med store rom som er enkle å møblere. En generøs takhøyde og store vindusflater bidrar til den luftige følelsen.Både varmtvann og fyring er inkludert i felleskostnadene og holder leiligheten varm mens strømkostnadene forblir lave. Nå som våren er her er den nordvestvendte brannbalkongen plassen å sitte. Her er det god ettermiddagssol.Leiligheten oppleves som velholdt og kan vise til pent baderom gjort i regi av gården og tidløst kjøkken. Lys enstavs parkett og overflater malt i tidsriktige farger2 boder + felles hobbyromBad 07Kjøkken 07Vinduer 2014Her er det lett å trives! Man. 26. april 1700 - 1800 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",2021-04-19,https://www.finn.no/realestate/homes/ad.html?finnkode=215505632,215505632,8009,4498009,3721,Leilighet,Andel,1,54,54,4,1940,G-rød,2,2187,NA,59,21892,1018440,140000,NA,NA,NA,NA,NA,NA,NA,NA,NA
