new_building,location,address,price,title,facilities,description_text,date_changed,ad_url,id,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,rom,tomteareal,bruttoareal,formuesverdi,lat,long,boligselgerforsikring,fellesformue,kommunale_avg,tomt,utleiedel,festeavgift,renovert_ar,grunnflate,verditakst,festear,sikringsordning,solgtpris
FALSE,Vestli,"Ragnhild Schibbyes vei 38, 0968 Oslo",2300000,2-roms med garasjeplass - Vestvendt balkong - Varmtvann a-konto inkl. - Oppussingsobjekt!,"Balkong/Terrasse, Barnevennlig, Kabel-TV, Garasje/P-plass, Bredbåndstilknytning", Søn. 2. mai 1430 - 1530 + Legg til i kalender Man. 3. mai 1700 - 1800 + Legg til i kalender Visningspåmelding Ali Hashmi ved din lokale eiendomsmegler Eie Stovner har gleden av å presentere Ragnhild Schibbyes vei 38!Praktisk 2-roms leilighetArealeffektiv planløsningOppussingsobjektVestvendt terrasse på ca. 12m2Hyggelig utsikt over fellesområdeneRomslig stue med god plass til møblementStore vindusflaterBad med opplegg for vaskemaskinStort soverom med mulighet for walk-in-closetKjøkken i plassbesparende åpen løsning mot stueGarasjeplass i felles låsbart garasjeanleggGod oppbevaringsplass i totalt 3 boderAutomatsikringerBorettslaget har nylig gjennomført oppussing av fasaderMarka ligger i umiddelbar nærhetKort vei til kollektivtransport som tar deg dit du måtte ønskeStovner Senter med alt du trenger i en travel -hverdag ligger rett i nærhetenHer kan du skape din drømmebolig! Søn. 2. mai 1430 - 1530 + Legg til i kalender Man. 3. mai 1700 - 1800 + Legg til i kalender Visningspåmelding,2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216564331,216564331,391000,15504,2706504,4457,Leilighet,Andel,1,45,48,3,1976,C-rød,2,3038,52,560832,59.973705,10.931932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,NA,"Hans Nordahls gate 88, 0485 Oslo",6490000,Moderne 3-r endeleilighet m/sydvestvendt innglasset balkong - Særdeles lys og solrik - Åpent utsyn - Heis - 80 kvm BRA,"Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Man. 3. mai 1700 - 1800 + Legg til i kalender Tir. 4. mai 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Hans Nordahls gate 88 - En moderne og lekker 3-roms endeleilighet preget av luftige rom, god planløsning og en fantastisk innglasset balkong med gode solforhold. Beliggenheten er svært god i et nyere etablert boligområde rett ved Storo og Nydalen. Kort oppsummert- Særdels lys og luftig 3-roms selveier- Moderne bygg med ""alle"" fasiliteter- Solrik innglasset balkong med plexiglass som kan åpnes - 80 kvm bruksareal- Nymalt 2021- Det er mulig å kjøpe parkeringsplass i garasjeanlegg- Varmtvann, fyring og kabel-tv er inkludert i fellesutgiftene- Balansert ventilasjon- Bod i kjeller på 6,6 kvm- Kort vei til buss, trikk og t-bane- Søndagsåpen butikk ligger 1 minutt fra boligen- Barnevennlig boligområde med store, grønne fellesområder og flere lekeplasser Man. 3. mai 1700 - 1800 + Legg til i kalender Tir. 4. mai 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216566750,216566750,NA,173820,6663820,2926,Leilighet,Eier(Selveier),2,72,80,3,2014,D-lysegrønn,3,1462,88,1475974,59.943046,10.778854,Ja,20194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Utsiktsleilighet På Haugerud,"Haugerudveien 78, 0674 Oslo",3990000,"Strøken 3(4)-roms hjørneleilighet i 11. etg. med heis, sydvestvendt balkong og fantastisk utsikt. Fyring/Vv. Garasje*","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng"," Tir. 4. mai 16:30 - 17:30 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding Lekker 3-roms andelsleilighet beliggende i 11. etasje med heisadkomst, og sydvestvendt balkong med god utsikt over deler av byen og fjorden. Leiligheten ble pusset opp i 2017 med nytt, moderne kjøkken og kjøkkenøy, innerdører og overflater. Bad og toalettrom ble rehabilitert i regi av borettslaget i 2012, og ble oppgrader i 2017. Boligen har innvendig bod, og disponerer en bod i kjeller. Eiendommen ligger i en blindvei på et høydedrag i et veletablert og rolig boligområde, med store friarealer avskjermet fra trafikk. Boligen ligger tett opptil Østmarka, og har god intern beliggenhet med fritt utsyn, og ingen innsyn. Gangavstand til Haugerud og Tveita senter med et godt servicetilbud og til T-bane.Mulighet for å leie parkerings- og garasjeplasser. Sigrid Jølstad Seim Eiendomsmegler Mobil 482 03 069 Send melding Tir. 4. mai 16:30 - 17:30 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216429535,216429535,343000,8626,4341626,4703,Leilighet,Andel,2,79,82,11,1970,C-mørkegrønn,3,60300,89,948716,59.91847,10.862423,NA,35172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Idylliske Kampen,"Normannsgata 69, 0655 Oslo",4100000,Tiltalende og lys 2-roms hjørneleilighet med peis. Sydvendt solrik balkong vendt ut mot rolig grøntområde. Sentralt!,"Balkong/Terrasse, Peis/Ildsted, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Ons. 5. mai 1200 - 1300 + Legg til i kalender Ons. 5. mai 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Normannsgata 69! Tiltalende 2-roms hjørneleilighet på populære Kampen. Leiligheten ligger i byggets 3. etasje med god takhøyde og store vindusflater. Leiligheten har siden 2014 blitt oppgradert med ny kjøkkeninnredning med integrerte hvitevarer, ny skyvedørsgarderobe og nytt speilskap på badet. Aksjelaget har forøvrig meget god vedlikeholdshistorikk, samt svært god økonomi.Leiligheten oppfattes som lys og innbydende med gode møbleringsmuligheter. Fra stuen er det utgang til solrik balkong på 4 kvm. Flott utsyn over Normannsparken. Rolig og skjermet beliggenhet i område uten gjennomgangstrafikk. Kort vei til grønne lunger, butikker, kaféer og restauranter.Kort fortalt:2-roms hjørneleilighetSolrik balkong.Flott utsyn.Peis.God standard.Takhøyde på 2,6m.Kjeller- og loftsbod. Ons. 5. mai 1200 - 1300 + Legg til i kalender Ons. 5. mai 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216565178,216565178,69000,19520,4188520,3113,Leilighet,Aksje,1,50,50,3,1934,F-rød,2,263,55,970142,59.914237,10.78268,Ja,31252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Øvre Grünerløkka,"Falsens gate 25, 0556 Oslo",5300000,"Stilren og klassisk 3-roms med god takhøyde på hele 2,89 m. Varmtvann inkl. i felleskost. Ingen forkjøpsrett. Må ses!","Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Søn. 2. mai 1400 - 1500 + Legg til i kalender Man. 3. mai 1700 - 1745 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Aktiv eiendomsmegling Grünerløkka er stolt av å presentere Falsens gate 25 - lys og sjarmerende 3-roms leilighet med sentral beliggenhet på Øvre Grunerløkka. Her har du tilgang til alt du måtte trenge rett utenfor dørkarmen, samtidig som du kan trekke deg tilbake i ro og mak fra storbyens pulserende liv. Leiligheten byr på gamle bygårdsklassikere, her får du alt du måtte ønske i et hjem:God planløsning og store vindusflater som slipper inn rikelig med naturlig lys God takhøyde på hele 2,89 meterVarmtvann inkl.3 boderModerne kjøkken fra 2011 med plass til spisebordTo innbydende soverom samt kontor som kan innredes etter ønske og behovBad med varmekabler og opplegg for vaskemaskinBaderomsinnredning fra 2015 og badekar fra 2019Hyggelig felles bakgård med sittegrupper og grillplassVelkommen! Søn. 2. mai 1400 - 1500 + Legg til i kalender Man. 3. mai 1700 - 1745 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=214696052,214696052,203899,8032,5511931,5217,Leilighet,Andel,2,63,63,NA,1890,G-rød,3,388,68,1207512,59.927613,10.763142,Ja,58492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Sjelden Mulighet I Skøyen Terrasse,"Skøyen terrasse 39, 0276 Oslo",13900000,"Totaloppusset 4-r topp- og endeleilighet med heis, stor terrasse, balkong, fritt utsyn, garasjeplass, peisovn og to bad","Balkong/Terrasse, Peis/Ildsted, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Moderne, Sentralt, Garasje/P-plass, Turterreng"," Søn. 2. mai 1500 - 1600 + Legg til i kalender Tir. 4. mai 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til en nyoppusset, rålekker 4-roms selveierleilighet med topp- og endeplassering i fjerde etasje. Leiligheten er gjennomgående og har en stor, deilig terrasse på den ene siden, og en overbygd balkong på den andre. På begge uteplasser er det fritt utsyn uten gjenboere. Det medfølger parkering i garasjeanlegg, og bygget har heis.Leiligheten ble totaltoppusset i 2021 og har en gjennomført, moderne stil med høy standard. I tillegg til at gulv er skiftet og overflater malt, så er rør- og elanlegg oppgradert, kjøkken og to bad er nye. Stue/kjøkken har ny peisovn og enstavs parkett, og kjøkkeninnredningen har integrerte hvitevarer. Hovedsoverommet har en suite bad og en flott garderobe. Det er også stor garderobe i entreen, og lagringsplass i to boder. Søn. 2. mai 1500 - 1600 + Legg til i kalender Tir. 4. mai 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 2 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216564320,216564320,319788,359070,14578858,7103,Leilighet,Eier(Selveier),3,117,117,4,1983,G-mørkegrønn,4,14085,128,1818302,59.926625,10.684791,NA,43535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,NA,"Griffenfeldts gate 15, 0460 Oslo",3790000,Sagene | Lys og flott 2-roms med ypperlig planløsning. Felles takterrasse. Kort vei til alt Oslo har å by på!,"Parkett, Kabel-TV, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning", Søn. 2. mai 1200 - 1300 + Legg til i kalender Man. 3. mai 1700 - 1800 + Legg til i kalender Kontakt Grunde Skillebekk på tlf. 91 90 18 07 ved ønske om privatvisning Visningspåmelding Velkommen til Griffenfeldtsgate 15 - en lys og flott 2-roms med unik sentral beliggenhet i et populært område mellom Sagene og St. Hanshaugen.Felles takterrasseTV og internett ink.Varmtvann og fyring ink.Lave felleskostnaderStore deler av leilighet nymalt i 2019 og 2021To boderBredt kollektivtilbud i umiddelbar nærhetKort vei til alt Oslo har å by påIngen dok.avgiftIngen forkjøpsrettGjesterom tilgjengelig i aksjelagetDette er et attraktivt område som kan tilby alt fra spennende restauranter til hyggelig turområde. Her finner du et bredt spekter av fasiliteter du ønsker deg i hverdagen. Leiligheten har god intern beliggenhet i byggets 3. etasje og har god takhøyde og store vindusflater som gir rikelig med lyssinnslipp. Leiligheten har en effektiv planløsning med gode romfølelse.Velkommen! Søn. 2. mai 1200 - 1300 + Legg til i kalender Man. 3. mai 1700 - 1800 + Legg til i kalender Kontakt Grunde Skillebekk på tlf. 91 90 18 07 ved ønske om privatvisning Visningspåmelding,2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216561786,216561786,127000,10388,3927388,2955,Leilighet,Aksje,1,49,50,3,1936,D-gul,2,918,NA,1047800,59.933619,10.752544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Frogner,"Frognerveien 20B, 0263 Oslo",3000000,Flott 1(2) roms leilighet i 2.etasje med brannbalkong og heis. Sentralvarme og vv inkl,"Balkong/Terrasse, Heis, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Tir. 4. mai 1700 - 1800 + Legg til i kalender Dersom du ikke ønsker å delta på vår annonserte visning tilbyr selger å ta imot for privatvisning - ta kontakt med megler for nærmere avtale. Visningspåmelding Velkommen til Frognerveien 20BFlott 1-roms leilighet beliggende i veletablert og svært populært boligområde på Frogner.Boligen ligger tilbaketrukket vendt inn mot bakgård, og inneholder romslig entre, sovealkove, flislagt bad, åpen stue- og kjøkkenløsning med utgang til brannbalkong.Fra leiligheten er det kort vei til offentlig kommunikasjon via buss, trikk, t-bane og tog. Det er ellers kort gangavstand til flere populære steder som Solli plass og Aker brygge med flere hyggelige spisesteder, Gimle Kino, Nationaltheatret, Bogstadveien og Karl Johan med en rekke forretninger og servicetilbud.- Brannbalkong- Åpen stue- og kjøkkenløsning.- Store vindusflater som gir gode lysforhold- Sentralvarme og Vv inkl. i felleskostnadene- Ingen forkjøpsrett- Kort vei til kollektivtilbud og servicetilbud Bjarne Bjerknes Eiendomsmegler Mobil 975 89 046 Hjemmeside Send melding Tir. 4. mai 1700 - 1800 + Legg til i kalender Dersom du ikke ønsker å delta på vår annonserte visning tilbyr selger å ta imot for privatvisning - ta kontakt med megler for nærmere avtale. Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216561693,216561693,66000,5660,3071660,1787,Leilighet,Andel,NA,22,22,2,1937,G-rød,NA,966,26,652161,59.917766,10.712247,Ja,13169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Barcode / Bjørvika,"Dronning Eufemias gate 49, 0194 Oslo",7200000,"Sjønær, påkostet 3-roms fra 2018 med balkong, heis og byens flotteste felles takterrasse. Mulighet for garasjeleie.","Takterrasse, Balkong/Terrasse, Barnevennlig, Heis, Offentlig, vann/kloakk, Parkett, Sentralt, Utsikt, Bademulighet, Turterreng"," Søn. 2. mai 12:15 - 13:00 + Legg til i kalender Man. 3. mai 15:00 - 15:45 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding Meget moderne 3-roms med heis og sentral beliggenhet i hjertet av Bjørvika. Kvartalet ligger mellom Dronning Eufemias gate, med byliv og kollektivforbindelser til hele byen, og Operagata, som er en trafikkstille lokalgate. Her finner man et stort utvalg av Oslos beste restauranter, Operaen, Munch Brygge, Havnepromenaden og sjøbadet på Sørenga som en del av nærmiljøet.Fasaden/inngangspartiet har en eksklusiv vibe, og leiligheten har påkostede materialvalg med bl.a. enstavs eikeparkett, Sigdal kjøkken m/Siemens hvitevarer og steinplate i caesarstone, Grohe blandebatterier og bad m/regndusj. Stuen har store vinduer med skyvedører ut til egen balkong, 2 soverom, innvendig bod/kontor og godt med lagringsplass. Tilgang til felles takterrasse med 360 graders utsikt og fantastiske solforhold. Helene Solberg Eiendomsmegler Mobil 993 85 262 Send melding Aleksander Grønn Eiendomsmeglerfullmektig Mobil 974 10 455 Send melding Søn. 2. mai 12:15 - 13:00 + Legg til i kalender Man. 3. mai 15:00 - 15:45 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216416563,216416563,NA,181342,7381342,2792,Leilighet,Eier(Selveier),2,65,65,2,2018,B-rød,3,3134,72,1203530,59.906965,10.759268,NA,27568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Populære Tøyen,"Sigurds gate 3A, 0650 Oslo",5190000,"Klassisk drømmeleilighet - Balkong mot bakgård | Lekkert kjøkken | Stort delikat bad | Rosett, stukkatur og peis","Balkong/Terrasse, Peis/Ildsted, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet"," Man. 3. mai 1615 - 1715 + Legg til i kalender Vi ønsker trygge visninger under koronautbruddet og ber deg derfor om å melde deg på visning. Dette gjøres ved å klikke på linken i boksen over, eller ved å ta direkte kontakt med megler. Velkommen på visning! Visningspåmelding Niels D. Wiersholm Grieg har gleden av å presentere Sigurds gate 3A:Klassisk drømmeleilighet i stille miljøgate på TøyenRosett, stukkatur og originale tregulvStore vindusflater og generøs takhøydeBalkong mot veldig hyggelig bakgårdLekkert kjøkken og stort delikat badPeisovn2 boder og mye oppbevaringsplassGod økonomi i borettslagetFelles eie av en av leilighetene i borettslaget som genererer leieinntekterVarmtvann, kabel-TV og internett inkl. i f.kostLave omkostningerIngen fellesgjeldIngen forkjøpsrettTøyen er et populært område grunnet beliggenheten og den store variasjonen av tilbud som finnes her. Nabolaget ligger veldig nærme sentrum, men samtidig rolig og tilbaketrukket. Det er svært kort vei til offentlig transport (inkl. flytoget og Vy). Alle T-banens linjer går fra Tøyen stasjon. Man. 3. mai 1615 - 1715 + Legg til i kalender Vi ønsker trygge visninger under koronautbruddet og ber deg derfor om å melde deg på visning. Dette gjøres ved å klikke på linken i boksen over, eller ved å ta direkte kontakt med megler. Velkommen på visning! Visningspåmelding",2021-04-27,https://www.finn.no/realestate/homes/ad.html?finnkode=216559416,216559416,NA,8010,5198010,3196,Leilighet,Andel,1,63,63,2,1893,F-oransje,2,460,70,1024186,59.911393,10.773138,NA,231918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
